feature,gain,split
last1_finish,311573.1352901459,274.0
recent5_place_rate,160283.37817001343,54.0
recent3_place_rate,110912.22570419312,40.0
career_place_rate,78492.28913879395,168.0
field_size,37089.68466567993,294.0
best_adjusted_performance_last3,36991.33530044556,56.0
last2_finish,30520.938690185547,176.0
career_races,29135.480213165283,296.0
prize_change_from_last3_mean,27885.695232391357,102.0
prize_ratio_vs_last3_mean,23447.520078659058,198.0
horse_surface_aptitude,22916.1704788208,190.0
prize_ratio_vs_last1,20205.38076400757,62.0
class_change_last3_mean,16870.063760757446,196.0
weighted_margin_last3,15180.782039642334,60.0
last1_margin_x_race_class,11318.621829986572,62.0
mean_adjusted_performance_last3,10128.044052124023,60.0
class_change_last1,9674.497756958008,94.0
hidden_strength_last1,9664.948715209961,86.0
mean_margin_last3,9273.761795043945,44.0
race_class_score,8920.56731414795,88.0
horse_expected_position,7813.042085647583,116.0
weighted_adjusted_performance_last3,7502.952548980713,38.0
career_win_rate,7346.7230224609375,130.0
last1_field_top3_mean_strength_v2,7016.974380493164,108.0
last1_distance,6536.272556304932,140.0
course_first_corner_distance_m,6240.838161468506,74.0
races_last_180d,5957.986602783203,110.0
hidden_strength_x_race_strength,5822.375356674194,72.0
course_final_straight_m,5107.938205718994,88.0
best_strong_opponent_performance_last3,5016.164657592773,48.0
current_distance,4950.490411758423,126.0
horse_distance_aptitude,3963.0974311828613,48.0
expected_position_mean,3941.0667972564697,92.0
course_geometry_fit,3672.085792541504,84.0
last3_field_top3_mean_strength_v2,3552.650833129883,54.0
expected_position_std,3549.1129989624023,36.0
last3_finish,3368.8311920166016,52.0
last2_field_top3_mean_strength_v2,3167.294593811035,50.0
margin_x_field_strength,2929.584602355957,46.0
course_elevation_difference_m,2892.501621246338,64.0
prize_change_from_last1,2056.056411743164,12.0
condition_code_13,1752.6088104248047,38.0
career_wins,1706.975788116455,22.0
last2_distance,1642.5124015808105,24.0
race_total_top5_prize,1636.4447784423828,16.0
course_gentle_corners,1534.7510032653809,36.0
condition_code_12,1526.8702125549316,26.0
gate_x_expected_position,1221.7195949554443,32.0
last1_class_grade:E|condition:11,1147.412784576416,30.0
race_third_prize,1011.217414855957,18.0
recent3_win_rate,1004.2392234802246,20.0
last2_position_advantage,868.2993984222412,32.0
mean_winner_strength_last3,793.4531898498535,20.0
last1_race_class_score,699.0517997741699,14.0
last1_margin_x_winner_strength_v2,693.870979309082,12.0
last1_position_advantage,684.5899963378906,16.0
hidden_strength_last2,679.0296001434326,22.0
last2_winner_strength_v2,662.166805267334,10.0
horse_rest_aptitude,658.2252197265625,20.0
last1_field_strength_v2,612.5999927520752,18.0
expected_front_count,605.1736068725586,12.0
recent5_win_rate,594.5283966064453,14.0
course_mostly_flat,589.5125885009766,12.0
weighted_race_class_last3,556.3701934814453,14.0
max_hidden_strength_last3,522.3456039428711,16.0
last3_field_strength,508.21619415283203,12.0
last2_field_strength_v2,507.88098907470703,14.0
max_race_class_last3,492.40079498291016,6.0
best_margin_last3,470.4253921508789,8.0
grade_code_E,469.0580139160156,2.0
last1_adjusted_performance,458.7481994628906,12.0
last2_class_grade:unknown|condition:12,453.34599685668945,10.0
hidden_strength_last3,448.68220138549805,12.0
last3_field_strength_v2,385.2481994628906,10.0
last1_field_strength,344.0864067077637,12.0
last3_position_advantage,339.6400032043457,10.0
last2_class_grade:E|condition:11,318.4381980895996,12.0
weighted_race_prize_last3,301.68000411987305,12.0
last1_margin,293.1166000366211,6.0
last3_class_grade:unknown|condition:14,255.84959411621094,8.0
last2_field_max_strength_v2,243.62239456176758,8.0
last3_winner_best_win_class_before_target,214.15979957580566,12.0
last1_winner_strength,210.33920288085938,8.0
last2_winner_strength,210.15460014343262,12.0
last2_class_grade:unknown|condition:13,203.31979370117188,6.0
mid_density,191.34619903564453,6.0
last1_winner_mean_prize_before_target,190.00899696350098,12.0
horse_gate_aptitude,189.9240016937256,8.0
race_second_prize,159.9808006286621,6.0
last2_field_strength,159.50020217895508,4.0
last3_distance,144.9078025817871,6.0
last3_class_grade:unknown|condition:13,140.85179901123047,4.0
course_final_uphill,140.0186004638672,4.0
last1_class_grade:unknown|condition:11,139.05800247192383,8.0
setup_improvement,134.8327980041504,6.0
last2_race_class_score,127.697998046875,6.0
last1_winner_max_race_class_before_target,115.81279754638672,6.0
last3_field_max_strength_v2,108.68400001525879,6.0
gate_position_pct,99.42060089111328,4.0
last3_adjusted_performance,98.93320274353027,6.0
last2_class_grade:unknown|condition:14,97.85540008544922,4.0
condition_code_14,94.16500091552734,4.0
last1_class_grade:unknown|condition:12,93.5181999206543,4.0
last1_class_grade:E|condition:13,92.60700225830078,4.0
last2_adjusted_performance,92.5802001953125,4.0
last3_winner_strength,89.9552001953125,4.0
mean_race_class_last3,89.47060012817383,4.0
last1_field_max_strength_v2,77.9280014038086,4.0
rear_density,76.80000305175781,2.0
forward_density,75.78280258178711,4.0
margin_x_winner_strength,69.00499725341797,2.0
last2_margin_x_race_class,63.70459747314453,4.0
mean_race_prize_last3,63.62320137023926,4.0
front_density,60.5492000579834,4.0
position_stability,57.8114013671875,2.0
max_winner_strength_last3,53.550201416015625,2.0
racecourse_札幌,51.38359832763672,2.0
last1_class_grade:unknown|condition:13,47.66780090332031,2.0
last3_margin,39.31700134277344,2.0
races_last_365d,38.1150016784668,2.0
last3_margin_x_winner_strength_v2,36.4015998840332,2.0
last3_race_class_score,34.32160186767578,2.0
last1_winner_strength_v2,29.91659927368164,2.0
condition_code_11,28.150800704956055,2.0
last2_margin_x_winner_strength_v2,26.597999572753906,2.0
career_places,0.0,0.0
last2_margin,0.0,0.0
last3_winner_strength_v2,0.0,0.0
weighted_winner_strength_last3,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last1_winner_max_prize_before_target,0.0,0.0
last2_winner_max_prize_before_target,0.0,0.0
last3_winner_max_prize_before_target,0.0,0.0
last2_winner_mean_prize_before_target,0.0,0.0
last3_winner_mean_prize_before_target,0.0,0.0
last1_raw_performance,0.0,0.0
last2_raw_performance,0.0,0.0
last3_raw_performance,0.0,0.0
max_strong_against_bias_last3,0.0,0.0
strong_against_bias_last1,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
race_position_bias_last1,0.0,0.0
race_position_bias_last2,0.0,0.0
race_position_bias_last3,0.0,0.0
course_start_uphill,0.0,0.0
course_start_downhill,0.0,0.0
course_final_downhill,0.0,0.0
course_final_steep_hill,0.0,0.0
course_rolling_terrain,0.0,0.0
course_tight_corners,0.0,0.0
course_up_down_transition_sentence_count,0.0,0.0
frontness_mean,0.0,0.0
frontness_std,0.0,0.0
strong_against_bias_v2_last1,0.0,0.0
strong_against_bias_v2_last2,0.0,0.0
strong_against_bias_v2_last3,0.0,0.0
