race_id,horse_name,actual_finish,odds,model_d_rank,model_e_rank,model_d_score,model_e_score,rank_change,last1_finish,last1_margin,last1_raw_performance,last1_adjusted_performance,hidden_strength_last1,max_hidden_strength_last3,max_strong_against_bias_last3,setup_improvement,last1_race_position_bias,last1_position_advantage
2026-0809-04-02-06-01,エイシンウルクンデ,13,892.0,8,3,0.04380909623506569,0.05617794406941595,5,5,20.0,0.45202967835644425,0.43121949317125907,-0.02081018518518518,-0.02081018518518518,-0.0832407407407407,-0.4833333333333333,0.17222222222222217,0.4833333333333333
2026-0809-04-02-06-08,サトノアルペジオ,15,1046.0,13,8,0.02485524010561803,0.030907866547270377,5,10,12.0,0.35242432996449136,0.35242432996449136,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0809-04-02-06-08,ミスエル,7,2510.0,14,9,0.02150414938560354,0.028148402527091054,5,10,17.0,0.356524452941865,0.356524452941865,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-04-02-02-04,アドマイヤウルトラ,1,85.0,12,7,0.023991956276807513,0.04105189760878461,5,8,30.0,0.3690670198126751,0.37489601286823065,0.005828993055555565,0.027334158515477214,0.10933663406190881,-0.3291666666666667,-0.0708333333333333,0.3291666666666667
2026-0801-01-01-03-11,アイスグリーン,11,196.0,8,4,0.06591005687632596,0.0831748006052671,4,3,2.0,0.5874674466279785,0.575889948271634,-0.011577498356344473,0.013091794622260677,0.052367178489042675,-0.14743589743589747,0.3141025641025641,0.14743589743589747
2026-0801-04-02-03-12,ソナタン,9,290.0,10,6,0.034561623900593204,0.0593387454667713,4,10,25.0,0.32705359120455496,0.3198313689823327,-0.007222222222222241,0.0,-0.0,-0.4666666666666667,0.06190476190476191,0.4666666666666667
2026-0704-03-02-03-03,マンモスホームラン,15,727.0,13,9,0.009647378610969683,0.01446717136192764,4,14,61.0,0.18447605935510317,0.18093864438911678,-0.0035374149659863907,0.033007285754538485,0.132029143018154,-0.24761904761904763,0.05714285714285716,0.24761904761904763
2026-0719-03-02-08-12,イサチルシーキング,15,45.0,10,6,0.03796936615667399,0.05770298789403869,4,14,37.0,0.2243960019156021,0.2239084735709309,-0.0004875283446711953,-0.0004875283446711953,-0.0019501133786848004,-0.4095238095238095,0.004761904761904745,0.4095238095238095
2026-0725-04-02-01-07,モンテシート,7,199.0,8,4,0.04628820907525228,0.06451860597991413,4,7,7.0,0.4403647527862218,0.4403647527862218,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-01-01-03-04,ミリオンクラウン,1,100.0,9,5,0.03543571697713878,0.05257119164577558,4,7,12.0,0.44000245768494134,0.44000245768494134,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-04-02-04-10,アイアンソリッド,13,539.0,8,4,0.035465500702201676,0.04944163406039228,4,8,11.0,0.37458774440678844,0.37458774440678844,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0809-07-02-06-07,フィオライア,13,630.0,14,10,0.042811039035397506,0.05199179519023407,4,18,26.0,0.20000000000204365,0.20000000000204365,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0809-04-02-06-04,ジュングロワール,10,2777.0,14,10,0.010148764806826274,0.013630711909183635,4,13,35.0,0.21287654362216168,0.21614184974461065,0.0032653061224489632,0.017268445839874413,0.06907378335949765,0.08571428571428563,0.1523809523809524,-0.08571428571428563
2026-0725-04-02-01-10,マイトリックスター,6,2341.0,15,11,0.008541990809305258,0.01220428939491783,4,12,36.0,0.2172721480177659,0.22291760146541714,0.005645453447651244,0.03460317460317458,0.1384126984126984,0.18681318681318682,0.1208791208791209,-0.18681318681318682
2026-0801-04-02-03-10,パワポケグッド,6,1276.0,10,6,0.02137050166282409,0.02673384954023849,4,6,22.0,0.40188753274472916,0.4145067816277143,0.012619248882985157,0.03999999999999998,0.16,0.41758241758241765,0.1208791208791209,-0.41758241758241765
2026-0718-02-01-11-05,レースクイーン,9,208.0,8,5,0.0689945151589263,0.09186256493824362,3,4,1.0,0.6105777706401889,0.5851883249210729,-0.025389445719116055,0.0,-0.0,-0.31868131868131866,0.31868131868131866,0.31868131868131866
2026-0711-03-02-05-06,ブルーブロディ,11,569.0,16,13,0.00737028993565414,0.0086457518134514,3,12,51.0,0.1559046307836746,0.13753915787274715,-0.018365472910927466,0.007495659722222214,0.029982638888888902,-0.48484848484848486,0.1515151515151515,0.48484848484848486
2026-0801-07-02-03-08,ソウルアンドジャズ,2,202.0,7,4,0.05864123964230443,0.060182272043151235,3,2,3.0,0.5865814940138123,0.5688608332643055,-0.017720660749506845,0.015144032921810713,0.06057613168724278,-0.4807692307692307,0.14743589743589736,0.4807692307692307
2026-0705-03-02-04-02,ネオアンボウ,10,639.0,14,11,0.009789498554467872,0.015408375342888692,3,13,20.0,0.27355169043166544,0.2569047811232798,-0.016646909308385638,0.0,-0.0,-0.4738562091503268,0.1405228758169934,0.4738562091503268
2026-0809-04-02-06-11,スカイドリーマー,11,448.0,15,12,0.021245538972236862,0.028832602754581254,3,13,15.0,0.27338086766376185,0.2569342018514674,-0.016446665812294425,0.0,-0.0,-0.3594771241830065,0.18300653594771232,0.3594771241830065
2026-0808-07-02-05-10,アリュウ,16,536.0,10,7,0.024865883862889526,0.04526464822582344,3,12,20.0,0.2624003539704324,0.24705313174821014,-0.015347222222222234,0.0034920634920634908,0.013968253968253954,-0.21666666666666667,0.2833333333333333,0.21666666666666667
2026-0809-04-02-06-01,セレスタイト,7,808.0,14,11,0.023170738810819033,0.030140227997690235,3,8,22.0,0.3720296776435615,0.35696023319911707,-0.015069444444444413,-0.015069444444444413,-0.060277777777777757,-0.35,0.17222222222222217,0.35
2026-0705-10-02-04-07,ホッコームジカ,2,358.0,15,12,0.012792481483035006,0.014945485297921144,3,15,41.0,0.18240035314597094,0.1690670198126376,-0.013333333333333336,0.0,-0.0,-0.20000000000000007,0.2666666666666667,0.20000000000000007
2026-0808-01-01-05-01,シャドウルーラー,12,76.0,9,6,0.07413084999102457,0.08077976486004641,3,8,10.0,0.3690851797845426,0.3584558395067648,-0.010629340277777788,0.0,-0.0,-0.3291666666666667,0.12916666666666665,0.3291666666666667
2026-0705-10-02-04-10,タマモジャスミン,6,145.0,9,6,0.03731640369642349,0.0414160461009316,3,14,17.0,0.2533333498930842,0.24440539850419532,-0.008927951388888883,-0.008927951388888883,-0.03571180555555555,-0.21250000000000002,0.1680555555555555,0.21250000000000002
2026-0801-04-02-03-07,カフェニクス,15,585.0,12,9,0.019341079793425506,0.0268108803169172,3,12,33.0,0.2857142857142876,0.27726190476190665,-0.008452380952380933,0.0,-0.0,-0.3380952380952381,0.09999999999999998,0.3380952380952381
2026-0704-03-02-03-08,ブリスキー,14,230.0,10,7,0.052100150270913616,0.05734416249754573,3,8,18.0,0.37169645443384886,0.36332910749507336,-0.0083673469387755,0.00295857988165682,0.011834319526627213,-0.19523809523809516,0.17142857142857143,0.19523809523809516
2026-0801-07-02-03-03,ウェイヴムーン,2,136.0,11,8,0.024834374856738985,0.03577680234638456,3,13,33.0,0.23573368647930612,0.22906701981263947,-0.006666666666666654,-0.0038775510204081542,-0.01551020408163266,-0.06666666666666665,0.4,0.06666666666666665
2026-0704-10-02-03-11,トーアライデン,9,358.0,13,10,0.018934884411736713,0.024341047680788236,3,9,6.0,0.38765816753733323,0.38125191753733323,-0.006406250000000002,0.02818064266147635,0.1127225706459054,-0.3416666666666667,0.07500000000000007,0.3416666666666667
2026-0719-10-02-08-03,エイシンキタールン,11,279.0,15,12,0.015960168936170298,0.02121980800876843,3,11,36.0,0.22257129745034138,0.21870870704928944,-0.0038625904010519407,-0.0038625904010519407,-0.015450361604207772,-0.3012820512820513,0.05128205128205132,0.3012820512820513
2026-0718-03-02-07-11,アマイ,11,284.0,14,11,0.019939510477782467,0.024223993859277683,3,6,15.0,0.35000012236092826,0.3483604618671011,-0.001639660493827133,-0.001639660493827133,-0.006558641975308618,-0.4722222222222222,0.01388888888888884,0.4722222222222222
2026-0704-10-02-03-11,ウォーターガーベラ,11,225.0,9,6,0.05953113300691457,0.0693749258000607,3,4,3.0,0.5217141430591274,0.5217141430591274,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0704-10-02-03-11,スリリングチェイス,14,740.0,14,11,0.018519681940729418,0.022414720805697293,3,12,13.0,0.3411773747199981,0.3411773747199981,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0705-03-02-04-01,バイアブランカ,10,49.0,6,3,0.03709213355235707,0.04902021525653626,3,7,8.0,0.3846102444062642,0.3846102444062642,0.0,0.0,-0.0,-0.0,0.0,0.0
