filter,races,horses,top1_wins,top1_places,win_rate,place_rate,logloss,brier,auc,top1_accuracy,top3_accuracy,win_investment,win_payout,win_profit,win_roi,place_investment,place_payout,place_profit,place_roi,top1_mean_odds,top1_median_odds,hit_mean_odds,hit_median_odds,top1_mean_popularity,top1_median_popularity
新馬,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
未勝利,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
1勝,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
2勝,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
3勝,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
OP,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
L,3,32,0,0,0.0,0.0,0.30663420326195,0.08605651573896653,0.632183908045977,0.0,0.3333333333333333,300,0.0,-300.0,0.0,300,0.0,-300.0,0.0,38.666666666666664,39.0,,,1.3333333333333333,1.0
G3,11,159,3,6,0.2727272727272727,0.5454545454545454,0.24605307556140132,0.0640672988269619,0.6474201474201474,0.2727272727272727,0.36363636363636365,1100,1040.0,-60.0,94.54545454545455,1100,950.0,-150.0,86.36363636363636,53.18181818181818,42.0,34.666666666666664,29.0,2.1818181818181817,1.0
G2,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
G1,0,0,0,0,,,,,,,,0,0.0,0.0,,0,0.0,0.0,,,,,,,
UNKNOWN,418,5390,105,235,0.2511961722488038,0.562200956937799,0.2386241301559814,0.0659589526824654,0.7660342896295812,0.2511961722488038,0.5909090909090909,41800,29630.0,-12170.0,70.88516746411483,41800,33910.0,-7890.0,81.1244019138756,70.36124401913875,33.0,28.21904761904762,23.0,2.1961722488038276,1.0
