filter,band,bets,wins,win_rate,win_roi,places,place_rate,place_roi
ALL,<2.0,0,0,,,0,,
ALL,2.0-2.9,0,0,,,0,,
ALL,3.0-4.9,0,0,,,0,,
ALL,5.0-9.9,0,0,,,0,,
ALL,10.0+,432,108,0.25,70.99537037037037,241,0.5578703703703703,80.69444444444444
A_1plus,<2.0,0,0,,,0,,
A_1plus,2.0-2.9,0,0,,,0,,
A_1plus,3.0-4.9,0,0,,,0,,
A_1plus,5.0-9.9,0,0,,,0,,
A_1plus,10.0+,14,3,0.21428571428571427,74.28571428571429,6,0.42857142857142855,67.85714285714286
B_2plus,<2.0,0,0,,,0,,
B_2plus,2.0-2.9,0,0,,,0,,
B_2plus,3.0-4.9,0,0,,,0,,
B_2plus,5.0-9.9,0,0,,,0,,
B_2plus,10.0+,14,3,0.21428571428571427,74.28571428571429,6,0.42857142857142855,67.85714285714286
1勝_ONLY,<2.0,0,0,,,0,,
1勝_ONLY,2.0-2.9,0,0,,,0,,
1勝_ONLY,3.0-4.9,0,0,,,0,,
1勝_ONLY,5.0-9.9,0,0,,,0,,
1勝_ONLY,10.0+,0,0,,,0,,
