filter,band,bets,wins,win_rate,win_roi,places,place_rate,place_roi
ALL,1番人気,235,83,0.35319148936170214,80.34042553191489,162,0.6893617021276596,85.7872340425532
ALL,2番人気,90,16,0.17777777777777778,72.77777777777777,46,0.5111111111111111,74.44444444444444
ALL,3番人気,39,6,0.15384615384615385,78.71794871794872,19,0.48717948717948717,79.48717948717949
ALL,4-5番人気,39,3,0.07692307692307693,55.64102564102564,9,0.23076923076923078,50.0
ALL,6番人気以下,29,0,0.0,0.0,5,0.1724137931034483,101.72413793103448
A_1plus,1番人気,8,3,0.375,130.0,5,0.625,97.5
A_1plus,2番人気,4,0,0.0,0.0,1,0.25,42.5
A_1plus,3番人気,0,0,,,0,,
A_1plus,4-5番人気,1,0,0.0,0.0,0,0.0,0.0
A_1plus,6番人気以下,1,0,0.0,0.0,0,0.0,0.0
B_2plus,1番人気,8,3,0.375,130.0,5,0.625,97.5
B_2plus,2番人気,4,0,0.0,0.0,1,0.25,42.5
B_2plus,3番人気,0,0,,,0,,
B_2plus,4-5番人気,1,0,0.0,0.0,0,0.0,0.0
B_2plus,6番人気以下,1,0,0.0,0.0,0,0.0,0.0
1勝_ONLY,1番人気,0,0,,,0,,
1勝_ONLY,2番人気,0,0,,,0,,
1勝_ONLY,3番人気,0,0,,,0,,
1勝_ONLY,4-5番人気,0,0,,,0,,
1勝_ONLY,6番人気以下,0,0,,,0,,
