feature_number,feature_name,category
1,career_places,career
2,recent5_win_rate,recent_form
3,races_last_180d,activity
4,races_last_365d,activity
5,last1_winner_strength,opponent_strength
6,last2_winner_strength,opponent_strength
7,last3_winner_strength,opponent_strength
8,last1_field_strength,field_strength
9,last2_field_strength,field_strength
10,last3_field_strength,field_strength
11,last1_distance,distance
12,current_distance,distance
13,field_size,race_structure
14,last1_winner_strength_v2,opponent_strength_v2
15,last2_winner_strength_v2,opponent_strength_v2
16,last1_field_strength_v2,field_strength_v2
17,last2_field_strength_v2,field_strength_v2
18,last3_field_strength_v2,field_strength_v2
19,max_winner_strength_last3,opponent_strength_aggregate
20,mean_winner_strength_last3,opponent_strength_aggregate
21,weighted_winner_strength_last3,opponent_strength_aggregate
22,best_strong_opponent_performance_last3,opponent_strength_aggregate
23,last1_field_max_strength_v2,field_strength_aggregate
24,last2_field_max_strength_v2,field_strength_aggregate
25,last3_field_max_strength_v2,field_strength_aggregate
26,last1_field_top3_mean_strength_v2,field_strength_aggregate
27,last2_field_top3_mean_strength_v2,field_strength_aggregate
28,last3_field_top3_mean_strength_v2,field_strength_aggregate
29,opponent_history_missing_last3,data_quality
30,last1_winner_max_race_class_before_target,class_history
31,last2_winner_max_race_class_before_target,class_history
32,last3_winner_max_race_class_before_target,class_history
33,last1_winner_best_win_class_before_target,class_history
34,last2_winner_best_win_class_before_target,class_history
35,last3_winner_best_win_class_before_target,class_history
36,last1_winner_max_prize_before_target,prize_history
37,last2_winner_max_prize_before_target,prize_history
38,last3_winner_max_prize_before_target,prize_history
39,last1_winner_mean_prize_before_target,prize_history
40,last2_winner_mean_prize_before_target,prize_history
41,last3_winner_mean_prize_before_target,prize_history
42,last1_position_advantage,running_style
43,last2_position_advantage,running_style
44,last3_position_advantage,running_style
45,last1_adjusted_performance,performance
46,last2_adjusted_performance,performance
47,last3_adjusted_performance,performance
48,best_adjusted_performance_last3,performance_aggregate
49,mean_adjusted_performance_last3,performance_aggregate
50,weighted_adjusted_performance_last3,performance_aggregate
51,hidden_strength_last1,hidden_strength
52,hidden_strength_last3,hidden_strength
53,max_hidden_strength_last3,hidden_strength_aggregate
54,max_strong_against_bias_last3,opponent_bias
55,strong_against_bias_last1,opponent_bias
56,strong_against_bias_last2,opponent_bias
57,strong_against_bias_last3,opponent_bias
58,setup_improvement,form_change
59,hidden_strength_x_race_strength,interaction
60,race_first_prize,race_prize
61,race_first_prize_log,race_prize_transform
62,race_total_top5_prize_log,race_prize_transform
63,last2_race_first_prize,previous_race_prize
64,last3_race_first_prize,previous_race_prize
65,last1_race_first_prize_log,previous_race_prize_transform
66,last2_race_first_prize_log,previous_race_prize_transform
67,last3_race_first_prize_log,previous_race_prize_transform
68,max_race_prize_last3,previous_race_prize_aggregate
69,prize_change_from_last1,prize_change
70,prize_change_from_last3_mean,prize_change
71,prize_ratio_vs_last1,prize_change
72,prize_ratio_vs_last3_mean,prize_change
73,last1_winning_margin,winning_margin
74,last2_winning_margin,winning_margin
75,last3_winning_margin,winning_margin
76,last1_class_matched_adjusted_performance,class_matched_performance
77,last2_class_matched_adjusted_performance,class_matched_performance
78,last3_class_matched_adjusted_performance,class_matched_performance
79,mean_class_matched_adjusted_performance_last3,class_matched_performance
80,class_matched_sample_count,class_matched_performance
81,last4_winning_margin,winning_margin
82,last5_winning_margin,winning_margin
83,mean_winning_margin_last5,winning_margin_aggregate
84,max_winning_margin_last5,winning_margin_aggregate
85,course_gate_win_rate,course_wakuban
86,course_gate_place_rate,course_wakuban
