variant,market_group,races,predicted_win_probability,actual_win_rate,win_roi
baseline_cleanup_b,A_favorite,912,0.2791293542145166,0.34649122807017546,77.60964912280703
baseline_cleanup_b,B_2_3,514,0.2320995284438814,0.14396887159533073,58.11284046692607
baseline_cleanup_b,C_4_6,156,0.20034359617881714,0.08333333333333333,60.128205128205124
baseline_cleanup_b,D_7_plus,45,0.15439627763699842,0.044444444444444446,76.0
dedup_no_raw_margin,A_favorite,919,0.2772842968181618,0.34929270946681173,78.52013057671383
dedup_no_raw_margin,B_2_3,493,0.2317011380726574,0.13387423935091278,53.73225152129818
dedup_no_raw_margin,C_4_6,169,0.19747051029219134,0.07100591715976332,53.07692307692308
dedup_no_raw_margin,D_7_plus,46,0.15100283343132379,0.043478260869565216,74.34782608695653
no_career_win_rate_no_career_races,A_favorite,881,0.2735068981889712,0.3496027241770715,78.38819523269012
no_career_win_rate_no_career_races,B_2_3,533,0.23070565718597147,0.15196998123827393,60.093808630393994
no_career_win_rate_no_career_races,C_4_6,174,0.19438339583446726,0.06896551724137931,50.3448275862069
no_career_win_rate_no_career_races,D_7_plus,39,0.15271527837790297,0.05128205128205128,87.6923076923077
