feature,gain,gain_share,split_count
recent3_place_rate,40059.505588531494,0.18953065744068465,118
weighted_adjusted_performance_last3,27041.42932987213,0.12793916958610066,108
mean_class_matched_adjusted_performance_last3,25795.958808898926,0.12204656449287596,51
last1_class_matched_adjusted_performance,17062.225845336914,0.08072528191146586,30
prize_ratio_vs_last3_mean,12532.988636016846,0.05929642767635514,159
best_strong_opponent_performance_last3,8425.406079292297,0.039862517770817764,63
hidden_strength_x_race_strength,6182.399484634399,0.02925034200170372,88
prize_change_from_last3_mean,5567.444013595581,0.026340847413330648,104
last1_adjusted_performance,5385.98351764679,0.025482316420713177,80
last3_field_strength,5133.444578170776,0.024287497100677312,59
last1_winning_margin,4349.52231502533,0.020578582082043592,104
races_last_180d,4344.776908874512,0.020556130483243906,94
last3_field_top3_mean_strength_v2,3321.270616531372,0.01571368877976945,52
races_last_365d,2826.852011680603,0.013374481596565983,67
prize_ratio_vs_last1,2590.1963996887207,0.012254809921419548,63
hidden_strength_last1,2547.476667404175,0.01205269312475349,57
last1_winner_strength,2471.8056106567383,0.011694676096738075,40
last2_winning_margin,2236.7492237091064,0.01058257072001643,74
last2_winner_strength,2072.3726654052734,0.009804867732786314,31
last1_distance,1921.5267009735107,0.009091181071131382,73
career_places,1871.8787984848022,0.008856285521099187,68
last1_field_strength,1728.0476055145264,0.008175787343110223,45
hidden_strength_last2,1438.6670036315918,0.006806661715629802,53
last2_distance,1312.6755962371826,0.006210567631978011,46
last2_field_top3_mean_strength_v2,1270.5906419754028,0.006011454114913542,35
mean_winner_strength_last3,1242.2274026870728,0.005877261160944493,22
last1_field_top3_mean_strength_v2,1198.1276922225952,0.00566861537277308,35
current_distance,1102.1634607315063,0.005214586706715275,32
max_hidden_strength_last3,1031.5521850585938,0.004880508656964109,35
last1_field_strength_v2,1020.4749898910522,0.004828099920214648,32
mean_adjusted_performance_last3,964.3344821929932,0.004562486374147491,24
recent5_win_rate,947.621584892273,0.0044834138452531005,27
last2_class_matched_adjusted_performance,923.9443044662476,0.004371391231403448,23
hidden_strength_last3,900.4446897506714,0.004260209194550726,35
last1_position_advantage,860.709358215332,0.004072212278491121,34
prize_change_from_last1,752.9373006820679,0.0035623180943786096,22
max_race_prize_last3,685.212703704834,0.0032418975799108703,16
last2_field_strength_v2,588.0304231643677,0.0027821060459960645,25
race_second_prize,527.6993684768677,0.0024966660663702216,21
best_adjusted_performance_last3,501.40519523620605,0.0023722623357712953,17
last2_field_max_strength_v2,483.52717304229736,0.0022876773352734176,19
last3_field_strength_v2,455.47960090637207,0.002154977874597627,13
last3_winning_margin,451.3082056045532,0.002135242052041069,20
setup_improvement,449.9198007583618,0.0021286731920557417,20
last3_winner_strength,444.1789207458496,0.0021015117793754257,13
last2_adjusted_performance,371.99029636383057,0.001759970933130442,17
last2_field_strength,368.48889350891113,0.0017434049976475148,10
last2_position_advantage,352.67060947418213,0.0016685650881518776,19
last3_distance,350.6824998855591,0.0016591588882535011,18
last2_winner_strength_v2,350.39799880981445,0.0016578128487770704,3
last3_winner_mean_prize_before_target,328.3762893676758,0.0015536231188436292,17
race_third_prize,323.7230987548828,0.0015316078127862334,9
last3_adjusted_performance,321.9873962402344,0.0015233958083221309,17
last3_class_matched_adjusted_performance,315.87930393218994,0.001494497030520353,15
last3_field_max_strength_v2,292.95580101013184,0.0013860407099584497,8
last3_position_advantage,282.5703420639038,0.0013369047350385455,19
last1_winner_max_race_class_before_target,271.9252061843872,0.0012865401693218932,9
race_first_prize,254.40149593353271,0.0012036314994356787,11
weighted_winner_strength_last3,245.09800243377686,0.0011596145498104025,8
last2_winner_mean_prize_before_target,222.32179927825928,0.0010518551380391378,12
race_total_top5_prize,184.01760005950928,0.0008706292353723052,7
weighted_race_prize_last3,166.44830131530762,0.0007875048759265499,8
last3_winner_strength_v2,136.0989007949829,0.0006439149401787018,5
recent3_win_rate,131.9120979309082,0.0006241062209310584,3
last1_race_first_prize,127.63869762420654,0.0006038877894317874,6
last2_race_first_prize,118.41520023345947,0.0005602493196432037,7
mean_race_prize_last3,115.18230152130127,0.0005449537384982906,5
last3_winner_best_win_class_before_target,108.2676010131836,0.0005122387133362184,7
last3_winner_max_race_class_before_target,100.01549911499023,0.0004731961371722262,6
last2_winner_best_win_class_before_target,84.37049961090088,0.00039917607631260993,4
last1_winner_best_win_class_before_target,81.00010108947754,0.000383229952210036,4
last1_field_max_strength_v2,59.316500663757324,0.0002806398931468903,3
last1_winner_mean_prize_before_target,54.94309997558594,0.0002599483370354747,4
max_winner_strength_last3,51.05530071258545,0.00024155427201923437,3
career_wins,44.44840049743652,0.00021029552024420825,2
last3_race_first_prize,41.27050018310547,0.00019526014906307823,2
field_size,39.22030067443848,0.0001855601875919245,3
last1_winner_strength_v2,23.247600555419922,0.00010998970038333625,1
last2_winner_max_race_class_before_target,18.78260040283203,8.886476631437931e-05,1
opponent_history_missing_last3,0.0,0.0,0
last1_winner_max_prize_before_target,0.0,0.0,0
last2_winner_max_prize_before_target,0.0,0.0,0
last3_winner_max_prize_before_target,0.0,0.0,0
max_strong_against_bias_last3,0.0,0.0,0
strong_against_bias_last1,0.0,0.0,0
strong_against_bias_last2,0.0,0.0,0
strong_against_bias_last3,0.0,0.0,0
race_first_prize_log,0.0,0.0,0
race_total_top5_prize_log,0.0,0.0,0
last1_race_first_prize_log,0.0,0.0,0
last2_race_first_prize_log,0.0,0.0,0
last3_race_first_prize_log,0.0,0.0,0
class_matched_sample_count,0.0,0.0,0
