date,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,ranker_score,ranker_win_probability,prediction_rank,win_payout,model_train_end_date,evaluation_mode
2026-07-11,2026-0711-02-01-09-07,2023103820,ターンザテーブルス,7,0,25.0,2.5,1,0.5957671653452111,0.2378240905845252,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2022105078,ミッキーマドンナ,13,0,44.0,4.400000095367432,2,0.2981226976811374,0.1554501191241935,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023104487,アイドクレース,2,0,77.0,7.699999809265137,5,0.231464014495655,0.1413300892043899,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023103766,タイムレスキス,9,0,67.0,6.699999809265137,4,0.0015979651678093,0.1017702826040492,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023105222,クシマトゥルー,14,0,320.0,32.0,8,-0.1490427512337879,0.0820654515618351,5,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023106226,ナムラヒナギク,3,0,206.0,20.600000381469727,7,-0.2706006576855317,0.0689831979231927,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023106829,ベアサナエチャン,4,0,194.0,19.399999618530273,6,-0.3318948939931053,0.0631997137493207,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023105420,ナイスプレーアスク,1,1,58.0,5.800000190734863,3,-0.4529650592331813,0.0531619222525206,8,580.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2023102475,コスモレッド,5,0,622.0,62.20000076293945,9,-0.841182520106636,0.030531105618849,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2019106416,キセキノエンジェル,11,0,1642.0,164.1999969482422,12,-1.200779408296226,0.0182659045006436,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2022103063,ルージュスティーズ,6,0,663.0,66.30000305175781,10,-1.2708745830516348,0.016525426851617,11,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2021101725,リリーズブルーム,7,0,977.0,97.6999969482422,11,-1.3334983095977109,0.0151112235558387,12,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2021104931,ルージュカエラ,10,0,2198.0,219.8000030517578,13,-1.4947732350873035,0.0120016603038074,13,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-07,2022104870,フクシマコウヨウ,12,0,3267.0,326.70001220703125,14,-2.303532712636196,0.0037798121652168,14,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2022101445,マテンロウカナロア,4,0,33.0,3.299999952316284,1,-0.6957810474703832,0.147606624000338,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023104103,パラダイスフェイス,3,0,33.0,3.299999952316284,2,-0.6993536646544752,0.1468551975145836,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023100463,ナムラハリス,7,0,187.0,18.700000762939453,7,-0.7184755231402992,0.1428978600522522,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023100655,タイセイモノリス,9,0,149.0,14.899999618530272,6,-0.7460093993536695,0.1373862086199997,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2022104259,アイファーシャドー,1,1,100.0,10.0,5,-0.8104603977189551,0.1253015392067057,5,1000.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023102706,レイサンソク,11,0,255.0,25.5,8,-1.2202295785429502,0.0697793835805285,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023102019,テイクオンミー,2,0,44.0,4.400000095367432,3,-1.366287921547849,0.056638208893511,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2022104890,エンダードラゴン,5,0,78.0,7.800000190734863,4,-1.3731972955223175,0.0560819095154058,8,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2021106070,ブリスフル,6,0,745.0,74.5,10,-1.5808271635637134,0.0416874112522246,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2019103592,ベイビールビオ,10,0,1219.0,121.9000015258789,11,-1.8106900143545448,0.0300187952452142,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2021109088,アルニラム,8,0,1893.0,189.3000030517578,12,-1.8144652926188625,0.0298573320352518,11,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-08,2023101481,シビックアスコット,12,0,704.0,70.4000015258789,9,-2.256004314985829,0.0158895300839843,12,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023102091,クリスレジーナ,9,0,20.0,2.0,1,0.82803972737559,0.4646343284763297,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023106866,サイン,5,0,40.0,4.0,2,-0.1811402523190339,0.1098993580934655,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022104724,ハルフロンティア,1,1,187.0,18.700000762939453,8,-0.3717763217336758,0.083699062653333,3,1870.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023105993,エトワールブーケ,3,0,137.0,13.699999809265137,6,-0.4081671392855386,0.0794589786233073,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022104598,ドルチェリターン,8,0,73.0,7.300000190734863,3,-0.4110541606769068,0.0791319395346,5,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022105525,モルビド,6,0,126.0,12.600000381469728,5,-0.4671605639601251,0.0730368841129003,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2021103520,デルシエロ,2,0,87.0,8.699999809265137,4,-0.4850759914972781,0.0711913347069195,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2023103986,メイショウソラリス,7,0,179.0,17.899999618530273,7,-1.3095116493186276,0.0219245251916327,8,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2019100907,ゼアズノープレイス,10,0,3033.0,303.29998779296875,10,-1.909654999944349,0.0093022679707126,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-09,2022103222,エオアリイ,4,0,1034.0,103.4000015258789,9,-2.0400459752726627,0.0077213206367988,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2023110100,アスクケンタッキー,1,1,32.0,3.200000047683716,2,-0.1121704473773879,0.1368705680019896,1,320.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021101595,ヴィヴァクラウン,7,0,68.0,6.800000190734863,3,-0.1579539525675061,0.1282050214681649,2,0.0,2026-06-30,monthly_walk_forward
