feature,gain,gain_share,split_count
mean_class_matched_adjusted_performance_last3,38195.51550197601,0.18346370694916522,56
weighted_adjusted_performance_last3,32422.403794288635,0.15573384231442408,124
best_strong_opponent_performance_last3,24661.610892295837,0.11845659088969314,96
last1_class_matched_adjusted_performance,13138.647319793701,0.06310858512859614,34
prize_ratio_vs_last3_mean,9661.54024028778,0.046407070673781685,140
hidden_strength_x_race_strength,8129.2269859313965,0.03904694302117761,103
last1_adjusted_performance,6249.733531951904,0.030019212102454205,93
races_last_180d,5015.124799728394,0.024089042246942857,119
prize_change_from_last3_mean,4832.437691688538,0.0232115451478114,100
last1_winning_margin,4737.908805847168,0.02275749656168,108
last3_field_strength,3861.5699796676636,0.01854819692319091,41
prize_ratio_vs_last1,3548.972004890442,0.01704670172189002,80
races_last_365d,2957.089714050293,0.014203726107397268,62
hidden_strength_last1,2876.7600021362305,0.013817880111284191,55
mean_adjusted_performance_last3,2578.6236143112183,0.012385847942900942,43
last1_distance,2425.5627851486206,0.01165065411876129,77
career_places,2193.418089866638,0.010535598443107076,71
last2_winning_margin,2119.852798461914,0.01018224384410427,64
last2_winner_strength,2008.9619026184082,0.009649603963453598,32
mean_winner_strength_last3,1996.3901119232178,0.009589218148689314,26
last1_winner_strength,1931.658507347107,0.009278294209681699,31
last1_field_strength,1905.5873022079468,0.009153066944737073,48
last3_field_top3_mean_strength_v2,1898.6650047302246,0.009119817220543613,38
last1_field_top3_mean_strength_v2,1693.1919527053833,0.008132872881470984,38
last2_class_matched_adjusted_performance,1525.6961641311646,0.007328343923912863,24
hidden_strength_last2,1429.0429735183716,0.006864091709870356,47
recent5_win_rate,1415.3425970077515,0.0067982849828710145,37
last1_field_strength_v2,1396.8350839614868,0.006709388239228372,31
last1_position_advantage,1354.0439939498901,0.0065038507070142365,36
last2_field_top3_mean_strength_v2,1353.0854959487915,0.006499246773958906,31
prize_change_from_last1,1198.1405038833618,0.005755002790236208,36
last2_distance,1189.268455505371,0.005712387869027085,37
current_distance,1143.6290016174316,0.005493168851208523,36
max_hidden_strength_last3,960.5527591705322,0.004613802631059075,30
best_adjusted_performance_last3,782.8128070831299,0.0037600681008565736,14
max_race_prize_last3,775.1590070724487,0.0037233047661102605,18
race_second_prize,760.2571277618408,0.0036517268862753423,14
last2_adjusted_performance,759.2399091720581,0.0036468409018657463,28
last3_winning_margin,616.7228021621704,0.002962291514010196,24
last3_field_strength_v2,586.696403503418,0.002818066352185029,24
last2_position_advantage,585.4121055603027,0.002811897511200047,27
race_first_prize,560.7005996704102,0.002693201260729981,12
last3_winner_strength,547.276704788208,0.002628722552053898,18
setup_improvement,542.4330987930298,0.0026054573624315555,26
hidden_strength_last3,537.2226610183716,0.0025804301775276812,22
last3_class_matched_adjusted_performance,500.7055559158325,0.0024050283435396703,20
last3_distance,493.72910022735596,0.002371518482364782,22
last2_field_strength,490.20239639282227,0.002354578740871781,14
weighted_winner_strength_last3,481.640118598938,0.0023134517341185075,12
last2_winner_strength_v2,425.11480712890625,0.0020419449081872884,6
weighted_race_prize_last3,399.88240146636963,0.0019207466309221317,10
mean_race_prize_last3,388.24969959259033,0.0018648715215133416,10
last2_field_strength_v2,358.8704996109009,0.0017237550353236802,17
last2_field_max_strength_v2,345.9392948150635,0.0016616428544567819,11
last3_position_advantage,336.78499698638916,0.0016176722104664317,16
last3_winner_mean_prize_before_target,326.07990169525146,0.0015662526540199538,17
race_third_prize,305.08380031585693,0.0014654025269848856,7
last1_winner_max_race_class_before_target,280.1916961669922,0.0013458388127399721,8
last3_field_max_strength_v2,233.1522979736328,0.0011198954722249027,10
race_total_top5_prize,218.0654001235962,0.0010474288967760672,9
last3_winner_strength_v2,207.65230178833008,0.0009974118830950957,9
last1_winner_mean_prize_before_target,199.20409965515137,0.0009568328135357745,6
last2_winner_mean_prize_before_target,170.3625020980835,0.0008182985816340762,10
last3_adjusted_performance,159.80430030822754,0.000767584595616946,8
last1_race_first_prize,131.09629917144775,0.0006296920645583722,6
last2_winner_best_win_class_before_target,117.61679935455322,0.0005649462698825515,7
max_winner_strength_last3,98.26030158996582,0.0004719716160056921,7
career_wins,88.71099853515625,0.00042610365181691934,6
last3_winner_max_race_class_before_target,80.54339790344238,0.00038687238947940626,2
last2_winner_max_race_class_before_target,73.23400020599365,0.00035176331503661566,4
last1_winner_best_win_class_before_target,49.737900733947754,0.00023890500035397038,3
last2_race_first_prize,48.106300354003906,0.00023106796896350053,3
last3_winner_best_win_class_before_target,39.42530059814453,0.00018937070753624304,3
field_size,30.37809944152832,0.0001459144787121625,2
last3_race_first_prize,15.75,7.565163989735559e-05,1
last3_winner_max_prize_before_target,14.769599914550781,7.094250502626092e-05,1
last1_field_max_strength_v2,11.633600234985352,5.5879424488057346e-05,1
last1_winner_strength_v2,11.12339973449707,5.3428789279270675e-05,1
recent3_win_rate,0.0,0.0,0
opponent_history_missing_last3,0.0,0.0,0
last1_winner_max_prize_before_target,0.0,0.0,0
last2_winner_max_prize_before_target,0.0,0.0,0
max_strong_against_bias_last3,0.0,0.0,0
strong_against_bias_last1,0.0,0.0,0
strong_against_bias_last2,0.0,0.0,0
strong_against_bias_last3,0.0,0.0,0
race_first_prize_log,0.0,0.0,0
race_total_top5_prize_log,0.0,0.0,0
last1_race_first_prize_log,0.0,0.0,0
last2_race_first_prize_log,0.0,0.0,0
last3_race_first_prize_log,0.0,0.0,0
class_matched_sample_count,0.0,0.0,0
