racecourse,races,win_hit_rate,place_hit_rate,win_investment,win_return,win_roi,place_investment,place_return,place_roi
京都,285,0.29473684210526313,0.5964912280701754,28500,23180.0,81.33333333333333,28500,23470.0,82.35087719298245
東京,261,0.2720306513409962,0.5938697318007663,26100,20570.0,78.81226053639847,26100,21330.0,81.72413793103448
中山,254,0.21653543307086615,0.531496062992126,25400,15030.0,59.173228346456696,25400,18560.0,73.07086614173228
阪神,250,0.256,0.568,25000,15890.0,63.56,25000,18390.0,73.56
小倉,145,0.19310344827586207,0.43448275862068964,14500,7430.0,51.241379310344826,14500,9420.0,64.96551724137932
福島,111,0.17117117117117117,0.4954954954954955,11100,6060.0,54.59459459459459,11100,8390.0,75.58558558558559
新潟,105,0.26666666666666666,0.580952380952381,10500,9380.0,89.33333333333333,10500,9290.0,88.47619047619048
中京,101,0.2376237623762376,0.5544554455445545,10100,5740.0,56.83168316831683,10100,8430.0,83.46534653465346
函館,71,0.29577464788732394,0.49295774647887325,7100,6810.0,95.91549295774648,7100,5250.0,73.94366197183099
札幌,44,0.20454545454545456,0.5227272727272727,4400,2280.0,51.81818181818182,4400,3240.0,73.63636363636363
