variant,month,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit,top1_average_popularity,top1_average_odds,top1_ev_ge_1_bets,top1_ev_ge_1_roi
baseline,2025-09,80,969,0.06989502751855872,0.25034578674423474,0.7623734533183353,0.275,0.575,60.12499999999999,-3190.0,1.775,3.51875,25,28.799999999999997
baseline,2025-10,92,1233,0.06297312421999675,0.2313807880415646,0.7671569561406851,0.2717391304347826,0.532608695652174,90.21739130434783,-900.0,2.097826086956522,4.572826086956522,33,122.12121212121212
baseline,2025-11,123,1672,0.06414246611193831,0.24051372882774238,0.730683840085657,0.23577235772357724,0.5609756097560976,72.84552845528455,-3340.0,2.203252032520325,6.1642276422764235,45,65.33333333333333
baseline,2025-12,99,1340,0.06354037179937064,0.23116257646376084,0.7632123002791819,0.21212121212121213,0.5050505050505051,65.25252525252525,-3440.0,2.191919191919192,5.202020202020202,24,30.416666666666664
baseline,2026-01,160,2155,0.06377438747388936,0.23210486014612244,0.7637625313283208,0.225,0.525,61.375,-6180.0,1.9625,4.043125000000001,37,41.891891891891895
baseline,2026-02,171,2326,0.06364245613346738,0.23339544039671672,0.7519314527618349,0.24561403508771928,0.5380116959064327,82.10526315789474,-3060.0,2.0409356725146197,4.7251461988304095,49,69.59183673469389
baseline,2026-03,182,2422,0.06436479811676367,0.23428569228299642,0.765934065934066,0.21978021978021978,0.5714285714285714,57.58241758241758,-7720.0,1.8241758241758241,3.8076923076923084,42,25.238095238095237
baseline,2026-04,160,2127,0.06359166228072573,0.23347363014619918,0.7619630147432639,0.29375,0.54375,80.1875,-3170.0,1.86875,3.858125,37,63.51351351351351
baseline,2026-05,206,2792,0.06201583688059428,0.22557400888186574,0.7854372686384491,0.2669902912621359,0.587378640776699,77.37864077669903,-4660.0,2.0825242718446604,4.850485436893204,55,83.0909090909091
baseline,2026-06,135,1765,0.06498232916555015,0.23343788937507456,0.7781276982503976,0.21481481481481482,0.5925925925925926,52.2962962962963,-6440.0,1.837037037037037,3.80962962962963,45,63.77777777777778
baseline,2026-07,144,1804,0.06796785417307066,0.24710095918412733,0.7519787483266399,0.2569444444444444,0.5486111111111112,65.06944444444444,-5030.0,1.8333333333333333,3.867361111111111,56,34.464285714285715
baseline,2026-08,75,923,0.0681329425976761,0.25102478123683536,0.7466981132075472,0.29333333333333333,0.5866666666666667,71.73333333333333,-2120.0,1.6,3.3653333333333335,21,64.76190476190476
drop_prize_ratio_vs_last3_mean,2025-09,80,969,0.07020124278359183,0.25097954192908456,0.7618110236220472,0.25,0.5625,54.0,-3680.0,1.7,3.4424999,25,20.0
drop_prize_ratio_vs_last3_mean,2025-10,92,1233,0.06316882128903145,0.23197351121056267,0.7658042144571885,0.2608695652173913,0.532608695652174,86.19565217391305,-1270.0,2.1630434782608696,4.676087,31,130.0
drop_prize_ratio_vs_last3_mean,2025-11,123,1672,0.06405184392936417,0.24022199643662426,0.732305657465871,0.2764227642276423,0.5528455284552846,78.45528455284553,-2650.0,2.2764227642276422,6.2682934,45,32.88888888888889
drop_prize_ratio_vs_last3_mean,2025-12,99,1340,0.06366040448872508,0.2319354045493881,0.759891420245973,0.2222222222222222,0.5050505050505051,73.33333333333333,-2640.0,2.3333333333333335,5.6181817,32,59.375
drop_prize_ratio_vs_last3_mean,2026-01,160,2155,0.06372130433386813,0.23204359252258544,0.7637155388471178,0.23125,0.50625,62.68749999999999,-5970.0,1.9,4.020625,33,67.57575757575758
drop_prize_ratio_vs_last3_mean,2026-02,171,2326,0.06361357363175518,0.23332274812816486,0.7520861318028249,0.22807017543859648,0.5497076023391813,73.50877192982456,-4530.0,2.046783625730994,4.6672516,50,68.2
drop_prize_ratio_vs_last3_mean,2026-03,182,2422,0.06456988033524687,0.23476570629264504,0.7663731357927787,0.2032967032967033,0.5989010989010989,51.758241758241766,-8780.0,1.8241758241758241,3.847253,40,9.0
drop_prize_ratio_vs_last3_mean,2026-04,160,2127,0.06358497553112638,0.23355621618990183,0.7618486273512965,0.2875,0.54375,75.3125,-3950.0,1.9125,3.9131248,36,35.0
drop_prize_ratio_vs_last3_mean,2026-05,206,2792,0.06216346919335855,0.22590012829899841,0.7847596092477043,0.2766990291262136,0.5776699029126213,78.3495145631068,-4460.0,2.1067961165048543,4.9242716,56,86.42857142857143
drop_prize_ratio_vs_last3_mean,2026-06,135,1765,0.06481260850131727,0.23308494261284735,0.7776914337650536,0.2074074074074074,0.5851851851851851,50.22222222222222,-6720.0,1.8814814814814815,4.104444,47,49.57446808510638
drop_prize_ratio_vs_last3_mean,2026-07,144,1804,0.0679026776131408,0.24681659712736548,0.7527652275769745,0.2569444444444444,0.5486111111111112,72.98611111111111,-3890.0,1.875,3.8618054,53,66.22641509433961
drop_prize_ratio_vs_last3_mean,2026-08,75,923,0.06787931964359675,0.2502691086497279,0.7470440251572327,0.29333333333333333,0.6,78.66666666666666,-1600.0,1.64,3.430667,23,85.21739130434783
