feature,feature_group,appearance_count,mean_shap,median_shap,mean_feature_value,loss_cases,win_cases,mean_shap_win_cases
weighted_adjusted_performance_last3,finish_margin_performance,406,0.17971414848611098,0.1900124631100179,0.65604115,418,51,0.19658126363639106
last1_raw_performance,finish_margin_performance,389,0.15979443983288635,0.18814430787489916,0.7066511,418,51,0.18277600062572108
career_win_rate,career_recent_form,303,0.10319440594696816,0.12488838229891969,0.28312543,418,51,0.1028965851855693
career_races,career_recent_form,336,0.0852162231487902,0.1150525556903707,9.476076555023923,418,51,0.10402605409366043
recent3_place_rate,career_recent_form,312,0.07634285128390371,0.09844673976279048,0.67982453,418,51,0.08845795401815862
weighted_margin_last3,finish_margin_performance,355,0.0678237758209312,0.08445257659460007,3.785646,418,51,0.07232859798518158
last1_adjusted_performance,finish_margin_performance,368,0.06657829011799288,0.08005688970676575,0.7030529,418,51,0.07812426976434926
mean_adjusted_performance_last3,finish_margin_performance,404,0.05829276361005888,0.05575172871342022,0.6683713,418,51,0.06184680889934375
prize_ratio_vs_last3_mean,race_class_prize,313,0.05194457111275836,0.03742351499576331,1.1437579,418,51,0.03176619020775852
mean_margin_last3,finish_margin_performance,330,0.03521851224780968,0.03828660008320572,3.992823,418,51,0.04124807947270164
last2_adjusted_performance,finish_margin_performance,334,0.024893942793883107,0.0372576218940752,0.6081124,418,51,0.03815674459824328
prize_change_from_last3_mean,race_class_prize,271,0.022025940473813736,0.0350810264798502,-1023285.44,418,51,0.012534503652608818
best_strong_opponent_performance_last3,finish_margin_performance,257,0.01624199642132853,0.0027005459854514404,-0.5388748,418,51,0.01818687790127685
last2_raw_performance,finish_margin_performance,308,0.015749208952138587,0.0267853749922912,0.61069804,418,51,0.02613759214666223
last1_margin_x_prize_strength,finish_margin_performance,367,0.012832261527827868,0.014841780750680642,52.233627,418,51,0.012652715944076532
last1_distance,course_distance_fit,314,0.012407706655118669,0.031252771859035314,1687.248803827751,418,51,0.0120182048649798
races_last_180d,career_recent_form,364,0.011238563829003737,0.025510899711246614,2.839712918660287,418,51,0.01194779686375932
prize_ratio_vs_last1,race_class_prize,350,0.009120067999335802,0.012112632467068146,1.1253453,418,51,0.006100448222735935
last3_adjusted_performance,finish_margin_performance,294,0.006931002596683536,0.010342745903062483,0.6104049,418,51,0.0044269487147002495
best_adjusted_performance_last3,finish_margin_performance,353,0.005096978503244925,0.004200154338595812,0.8553078,418,51,0.005253566671097536
last3_margin_x_prize_strength,finish_margin_performance,334,0.004637849225375861,0.006127553834709013,68.825386,418,51,0.0048582616766737995
last2_distance,course_distance_fit,309,0.0038214142943819914,0.017266068515147007,1645.4545454545455,418,51,0.002901521984352274
last1_position_advantage,pace_position_draw,363,0.0036824224233569353,0.0035578448057944087,0.058996264,418,51,0.005751996528121013
race_second_prize,race_class_prize,297,0.003095354086098732,0.0032567888491131652,6348803.5,418,51,0.0033325518938638935
last1_margin,finish_margin_performance,389,0.002985943584769045,0.003062269678682972,3.1052632,418,51,0.002645972920904956
last3_raw_performance,finish_margin_performance,277,0.0029718990067582264,0.002831418832369967,0.6126699,418,51,0.0031711674604426045
last1_margin_x_winner_strength_v2,finish_margin_performance,330,0.002943665324874788,0.003030789183770905,1.0213264,418,51,0.0036732295914589015
race_total_top5_prize,race_class_prize,254,0.002939834019007233,0.003323269582709733,30359782.0,418,51,0.0031560682428923314
race_first_prize,race_class_prize,291,0.002622076157139603,0.003498493817894445,15962919.0,418,51,0.0028655682416824937
last2_winner_strength,opponent_field_strength,122,0.002357410080348689,-0.004627520300578119,0.2300312,418,51,0.002692658096788301
last2_margin,finish_margin_performance,360,0.0023215626869682237,0.002966722811085083,4.6555023,418,51,0.0028346305119704186
last3_position_advantage,pace_position_draw,376,0.0022742536523462226,0.003296362041687106,0.042263076,418,51,0.0030770501103097063
last3_field_strength,opponent_field_strength,166,0.002218109478533046,-0.006900357971316885,0.15147756,418,51,0.003151856970717025
last2_margin_x_prize_strength,finish_margin_performance,335,0.0020347211046421,0.002513055391533858,76.83899,418,51,0.002317988332469495
last1_winner_strength,opponent_field_strength,183,0.002015136791598122,-0.0016277897698299825,0.24700387,418,51,0.0012064138214871111
