feature,decile,sample_size,predicted_win_probability,actual_win_rate,calibration_gap,top1_roi
weighted_adjusted_performance_last3,"(-0.001, 0.284]",2153,0.016079404816191474,0.017185322805387832,-0.0011059179891963582,130.0
weighted_adjusted_performance_last3,"(0.284, 0.333]",2153,0.022292853601761187,0.026010218300046448,-0.0037173646982852603,
weighted_adjusted_performance_last3,"(0.333, 0.373]",2153,0.031293662087719755,0.03529958197863446,-0.004005919890914707,0.0
weighted_adjusted_performance_last3,"(0.373, 0.41]",2152,0.04231201790688388,0.04275092936802974,-0.0004389114611458578,38.0
weighted_adjusted_performance_last3,"(0.41, 0.452]",2153,0.06108407486489893,0.06874129122155133,-0.0076572163566523965,57.85714285714286
weighted_adjusted_performance_last3,"(0.452, 0.49]",2153,0.09017154960306027,0.09103576405016256,-0.0008642144471022878,58.01652892561984
weighted_adjusted_performance_last3,"(0.49, 0.544]",2152,0.10118331191086542,0.09479553903345725,0.006387772877408174,61.48514851485148
weighted_adjusted_performance_last3,"(0.544, 0.623]",2153,0.11533506021604678,0.1133302368787738,0.0020048233372729762,75.35593220338983
weighted_adjusted_performance_last3,"(0.623, 0.72]",2153,0.1234636117608395,0.12076172782164422,0.0027018839391952792,73.78947368421052
weighted_adjusted_performance_last3,"(0.72, 1.001]",2153,0.1525408375001103,0.14584300975383185,0.006697827746278445,71.10921501706484
career_win_rate,"(-0.001, 0.0625]",4365,0.04677972745651682,0.04009163802978236,0.0066880894267344546,74.69026548672566
career_win_rate,"(0.0625, 0.0909]",2629,0.05407975230925198,0.060479269684290606,-0.0063995173750386256,75.47169811320755
career_win_rate,"(0.0909, 0.111]",1864,0.05907168105758334,0.05686695278969957,0.0022047282678837737,75.85365853658537
career_win_rate,"(0.111, 0.143]",2755,0.06576099299005768,0.06569872958257714,6.226340748054227e-05,67.0344827586207
career_win_rate,"(0.143, 0.167]",1755,0.07911404828618371,0.08547008547008547,-0.006356037183901764,85.04132231404958
career_win_rate,"(0.167, 0.2]",1942,0.08548740068966579,0.08032955715756952,0.005157843532096265,64.67948717948718
career_win_rate,"(0.2, 0.25]",2177,0.09244349805773952,0.09416628387689481,-0.0017227858191552897,62.562814070351756
career_win_rate,"(0.25, 0.333]",1977,0.10563527239484038,0.10015174506828528,0.005483527326555104,58.90196078431372
career_win_rate,"(0.333, 1.0]",2064,0.1329445523132043,0.1438953488372093,-0.010950796524005019,73.82222222222222
last1_raw_performance,"(-0.001, 0.227]",2158,0.024611191920878562,0.025949953660797033,-0.001338761739918471,130.0
last1_raw_performance,"(0.227, 0.279]",2148,0.028425526707585923,0.038640595903165736,-0.010215069195579813,46.666666666666664
last1_raw_performance,"(0.279, 0.323]",2153,0.03494195350801746,0.034370645610775664,0.0005713078972417948,44.375
last1_raw_performance,"(0.323, 0.371]",2152,0.04206985448050454,0.04228624535315985,-0.000216390872655306,51.24999999999999
last1_raw_performance,"(0.371, 0.415]",2155,0.05456838105657781,0.052900232018561484,0.001668149038016327,45.55555555555556
last1_raw_performance,"(0.415, 0.467]",2151,0.07005173216152158,0.07484890748489074,-0.0047971753233691655,66.71232876712328
last1_raw_performance,"(0.467, 0.518]",2156,0.09732114026154728,0.10018552875695733,-0.002864388495410042,66.25
last1_raw_performance,"(0.518, 0.614]",2151,0.13913496299833328,0.1301720130172013,0.008962949981131979,67.96875
last1_raw_performance,"(0.614, 0.958]",2259,0.1346586071254281,0.1301460823373174,0.0045125247881107056,79.44444444444444
last1_raw_performance,"(0.958, 1.0]",2045,0.1298254520078387,0.12616136919315404,0.003664082814684666,67.41545893719807
career_races,"(-0.001, 4.0]",2705,0.0961086918143204,0.09648798521256932,-0.0003792933982489227,64.12903225806451
career_races,"(4.0, 6.0]",1965,0.10844476813542149,0.11959287531806616,-0.011148107182644668,78.92966360856269
career_races,"(6.0, 8.0]",2174,0.09722754575745872,0.09889604415823366,-0.0016684984007749454,63.41726618705036
career_races,"(8.0, 10.0]",2171,0.08964314481490106,0.09212344541685859,-0.00248030060195753,66.19718309859155
career_races,"(10.0, 12.0]",2088,0.07745234299758312,0.07998084291187739,-0.002528499914294269,78.67549668874172
career_races,"(12.0, 14.0]",1841,0.07063752932649188,0.07658881042911461,-0.0059512811026227325,117.29166666666666
career_races,"(14.0, 17.0]",2296,0.06739668782392223,0.06184668989547038,0.005549997928451851,56.168224299065415
career_races,"(17.0, 21.0]",2267,0.0554366350202909,0.044993383325981476,0.010443251694309423,37.72727272727273
career_races,"(21.0, 26.0]",1946,0.048462758694868595,0.04367934224049332,0.004783416454375272,45.43478260869565
career_races,"(26.0, 84.0]",2075,0.03925479925895389,0.038072289156626506,0.0011825101023273873,69.6969696969697
prize_ratio_vs_last3_mean,"(0.1, 0.764]",2155,0.10453490270524096,0.11090487238979119,-0.006369969684550225,63.01038062283737
prize_ratio_vs_last3_mean,"(0.764, 0.908]",2167,0.07006531609087996,0.06783571758191048,0.002229598508969477,71.66666666666667
prize_ratio_vs_last3_mean,"(0.908, 1.0]",3872,0.06605487007515456,0.06482438016528926,0.0012304899098653094,77.26141078838175
prize_ratio_vs_last3_mean,"(1.0, 1.008]",987,0.06505482142544454,0.06382978723404255,0.0012250341914019913,44.509803921568626
prize_ratio_vs_last3_mean,"(1.008, 1.019]",1625,0.06132013733560313,0.06523076923076923,-0.003910631895166099,72.56410256410255
prize_ratio_vs_last3_mean,"(1.019, 1.097]",2124,0.06642485373803823,0.0696798493408663,-0.003254995602828062,76.4179104477612
prize_ratio_vs_last3_mean,"(1.097, 1.214]",2196,0.07223205189918007,0.07331511839708561,-0.0010830664979055438,51.37931034482759
prize_ratio_vs_last3_mean,"(1.214, 1.373]",2099,0.08016414505661605,0.06955693187232015,0.010607213184295902,72.03389830508475
prize_ratio_vs_last3_mean,"(1.373, 1.695]",2153,0.08255776615173134,0.08964235949837436,-0.00708459334664302,81.32596685082873
prize_ratio_vs_last3_mean,"(1.695, 31.25]",2150,0.08584073002060157,0.08046511627906977,0.005375613741531796,70.64171122994652
weighted_margin_last3,"(-0.001, 2.0]",2263,0.15643109639188674,0.14626601855943439,0.010165077832452352,75.920245398773
