feature,feature_group,dtype,min,p1,p10,p25,median,p75,p90,p99,max,mean,std,missing_rate,zero_rate,unique_count
weighted_adjusted_performance_last3,finish_margin_performance,float32,0.0,0.0,0.28246359825134276,0.3619130551815033,0.47079434990882874,0.615309476852417,0.7443737864494323,0.9221715664863585,1.0061759,0.49115515,0.18241231,0.0,0.013816433175234843,217912
career_win_rate,career_recent_form,float32,0.0,0.0,0.0,0.08695652335882187,0.1538461595773697,0.25,0.3636363744735718,1.0,1.0,0.18942684,0.17169417,0.0,0.10086127844785601,425
last1_raw_performance,finish_margin_performance,float32,0.0,0.0,0.22667334973812103,0.30666670203208923,0.4287056028842926,0.5838034152984619,0.9749907970428466,1.0,1.0,0.49777976,0.2626535,0.0,0.013816433175234843,63478
career_races,career_recent_form,int8,0,0.0,3.0,7.0,13.0,21.0,29.0,46.0,97,14.844487247550644,10.232812651234767,0.0,0.013816433175234843,98
prize_ratio_vs_last3_mean,race_class_prize,float32,0.073255815,0.3473826909065246,0.7354838848114014,0.9933110475540161,1.0966981649398804,1.3928571939468384,1.937799096107483,5.755431766510001,67.26457,1.3143929,0.9785268,0.0,0.0,19326
weighted_margin_last3,finish_margin_performance,float32,0.0,0.0,1.399999976158142,3.5,6.800000190734863,11.300000190734863,17.200000762939453,36.5,228.5,8.565393,7.880394,0.0,0.0423180368291966,873
recent3_place_rate,career_recent_form,float32,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,1.0,1.0,0.3312953,0.32614744,0.0,0.3903219154341273,5
last1_adjusted_performance,finish_margin_performance,float32,0.0,0.0,0.22857142984867096,0.3066733479499817,0.42956292629241943,0.5814294219017029,0.9700726866722107,1.0,1.0204355,0.497203,0.2604554,0.0,0.013816433175234843,128968
mean_adjusted_performance_last3,finish_margin_performance,float32,0.0,0.0,0.2933089315891266,0.36855414509773254,0.49289992451667786,0.6318882703781128,0.7568056583404541,0.9617464542388916,1.0045649,0.5078531,0.18556944,0.0,0.013816433175234843,215820
prize_change_from_last3_mean,race_class_prize,float32,-366333340.0,-44666668.0,-5000000.0,-100000.0,1066666.625,3900000.0,9266667.0,75417335.99999966,492566660.0,2754756.0,20183312.0,0.0,0.1586103713193838,4972
last2_adjusted_performance,finish_margin_performance,float32,0.0,0.0,0.22216775119304658,0.30703142285346985,0.4362856149673462,0.5791341066360474,0.9673437476158142,1.0,1.0204355,0.49015954,0.26522213,0.0,0.04043577267163046,128535
races_last_180d,career_recent_form,int8,0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,12,2.9678742700193492,1.5846075636540968,0.0,0.05382661231939697,13
mean_margin_last3,finish_margin_performance,float32,0.0,0.0,1.6666666269302368,3.6666667461395264,7.0,11.333333015441895,17.0,36.0,272.0,8.5613575,7.677073,0.0,0.0423180368291966,371
last1_distance,course_distance_fit,int16,0,0.0,1200.0,1400.0,1600.0,1900.0,2200.0,3300.0,4260,1682.6084934427884,506.8591586091324,0.0,0.013816433175234843,51
last3_field_top3_mean_strength_v2,other,float32,0.0,0.0,0.17983446121215824,0.23510105907917023,0.28305554389953613,0.32722222805023193,0.3689241409301758,0.44856125116348267,0.58939224,0.26964486,0.096907444,0.0,0.07378563248902012,95050
career_places,career_recent_form,int8,0,0.0,1.0,2.0,5.0,8.0,11.0,16.0,33,5.371231632567996,3.8133523439982695,0.0,0.058990772956822,34
last2_field_strength_v2,opponent_field_strength,float32,0.0,0.0,0.11799073666334153,0.15879353880882263,0.19812706112861633,0.2323920577764511,0.266631543636322,0.3234102725982666,0.4124893,0.19241136,0.06388934,0.0,0.04043577267163046,185460
last2_raw_performance,finish_margin_performance,float32,0.0,0.0,0.22122070491313933,0.3066675662994385,0.43602851033210754,0.5813562273979187,0.9733333587646484,1.0,1.0,0.49083608,0.26726797,0.0,0.04043577267163046,65590
best_strong_opponent_performance_last3,finish_margin_performance,float32,-271.82858,-20.705883026123047,-8.817142486572266,-4.753333568572998,-0.7599999904632568,0.23333333432674408,0.31111112236976624,0.4266666769981384,0.67777777,-3.0549464,4.9786305,0.0,0.013816433175234843,15687
last3_field_strength_v2,opponent_field_strength,float32,0.0,0.0,0.10966055691242219,0.14908331632614136,0.19141080975532532,0.22684606909751892,0.26083211302757264,0.31742019176483155,0.4107328,0.18229502,0.07057313,0.0,0.07378563248902012,189793
last2_distance,course_distance_fit,int16,0,0.0,1200.0,1300.0,1600.0,1800.0,2200.0,3250.0,4260,1633.576345774997,562.418385493538,0.0,0.04043577267163046,51
last2_field_top3_mean_strength_v2,other,float32,0.0,0.0,0.19287878274917603,0.2415476143360138,0.28739649057388306,0.33106061816215515,0.3730158805847168,0.45354751944541905,0.5870907,0.28013515,0.085147925,0.0,0.04043577267163046,86451
