feature,feature_group,decile,sample_size,feature_mean,ranker_score_mean,ranker_win_probability_mean,actual_win_rate,actual_place_rate,top1_rate,average_shap
weighted_adjusted_performance_last3,finish_margin_performance,"(-0.001, 0.284]",2153,0.23661414,-1.9973899420209702,0.016079404816191474,0.017185322805387832,0.05294937296795169,0.0009289363678588017,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.284, 0.333]",2153,0.30958024,-1.6756421281452616,0.022292853601761187,0.026010218300046448,0.10125406409660938,0.0,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.333, 0.373]",2153,0.35384476,-1.3175136594443366,0.031293662087719755,0.03529958197863446,0.13190896423594983,0.0037157454714352067,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.373, 0.41]",2152,0.39190575,-1.0044180433596546,0.04231201790688388,0.04275092936802974,0.16310408921933087,0.0023234200743494425,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.41, 0.452]",2153,0.43080792,-0.7038155940746698,0.06108407486489893,0.06874129122155133,0.20854621458430098,0.013005109150023224,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.452, 0.49]",2153,0.47127345,-0.32417553966034607,0.09017154960306027,0.09103576405016256,0.2810032512772875,0.0562006502554575,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.49, 0.544]",2152,0.5150677,-0.22808094490028394,0.10118331191086542,0.09479553903345725,0.2853159851301115,0.09386617100371747,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.544, 0.623]",2153,0.583155,-0.04086181256446205,0.11533506021604678,0.1133302368787738,0.3204830469112866,0.13701811425917323,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.623, 0.72]",2153,0.670293,0.027013209447061218,0.1234636117608395,0.12076172782164422,0.3274500696702276,0.17649790989317232,
weighted_adjusted_performance_last3,finish_margin_performance,"(0.72, 1.001]",2153,0.80654854,0.42929182094070983,0.1525408375001103,0.14584300975383185,0.3985137018114259,0.2721783557826289,
career_win_rate,career_recent_form,"(-0.001, 0.0625]",4365,0.021249007,-1.4841406840705746,0.04677972745651682,0.04009163802978236,0.1466208476517755,0.02588774341351661,
career_win_rate,career_recent_form,"(0.0625, 0.0909]",2629,0.079592176,-1.1628359790719185,0.05407975230925198,0.060479269684290606,0.19741346519589198,0.040319513122860404,
career_win_rate,career_recent_form,"(0.0909, 0.111]",1864,0.104400605,-1.0065275333943715,0.05907168105758334,0.05686695278969957,0.2017167381974249,0.043991416309012876,
career_win_rate,career_recent_form,"(0.111, 0.143]",2755,0.13167262,-0.762279890394507,0.06576099299005768,0.06569872958257714,0.20943738656987296,0.05263157894736842,
career_win_rate,career_recent_form,"(0.143, 0.167]",1755,0.16145217,-0.4948822926360018,0.07911404828618371,0.08547008547008547,0.23475783475783477,0.06894586894586895,
career_win_rate,career_recent_form,"(0.167, 0.2]",1942,0.19208892,-0.33805721567794245,0.08548740068966579,0.08032955715756952,0.25798146240988673,0.08032955715756952,
career_win_rate,career_recent_form,"(0.2, 0.25]",2177,0.2376086,-0.19144656932902973,0.09244349805773952,0.09416628387689481,0.26090950849793293,0.09141019751952228,
career_win_rate,career_recent_form,"(0.25, 0.333]",1977,0.31065747,0.02131158718122633,0.10563527239484038,0.10015174506828528,0.28730399595346484,0.12898330804248861,
career_win_rate,career_recent_form,"(0.333, 1.0]",2064,0.56675905,0.3369629669002052,0.1329445523132043,0.1438953488372093,0.35222868217054265,0.2180232558139535,
last1_raw_performance,finish_margin_performance,"(-0.001, 0.227]",2158,0.19495068,-1.6417409989895861,0.024611191920878562,0.025949953660797033,0.08804448563484708,0.0009267840593141798,
last1_raw_performance,finish_margin_performance,"(0.227, 0.279]",2148,0.25202206,-1.5030665812563135,0.028425526707585923,0.038640595903165736,0.1196461824953445,0.002793296089385475,
last1_raw_performance,finish_margin_performance,"(0.279, 0.323]",2153,0.30028677,-1.2553721570661474,0.03494195350801746,0.034370645610775664,0.12401300510915002,0.0074314909428704135,
last1_raw_performance,finish_margin_performance,"(0.323, 0.371]",2152,0.34758002,-1.072722393608854,0.04206985448050454,0.04228624535315985,0.16031598513011153,0.007434944237918215,
last1_raw_performance,finish_margin_performance,"(0.371, 0.415]",2155,0.39386815,-0.8656910837288325,0.05456838105657781,0.052900232018561484,0.17447795823665893,0.016705336426914155,
last1_raw_performance,finish_margin_performance,"(0.415, 0.467]",2151,0.4401373,-0.6261182341175554,0.07005173216152158,0.07484890748489074,0.2394235239423524,0.03393770339377034,
last1_raw_performance,finish_margin_performance,"(0.467, 0.518]",2156,0.48977032,-0.2871377180856543,0.09732114026154728,0.10018552875695733,0.29081632653061223,0.08534322820037106,
last1_raw_performance,finish_margin_performance,"(0.518, 0.614]",2151,0.55436355,0.09988920420491738,0.13913496299833328,0.1301720130172013,0.37099023709902373,0.2082752208275221,
last1_raw_performance,finish_margin_performance,"(0.614, 0.958]",2259,0.8421122,0.08476908586046678,0.1346586071254281,0.1301460823373174,0.34926958831341304,0.19123505976095617,
last1_raw_performance,finish_margin_performance,"(0.958, 1.0]",2045,0.98841256,0.24060585820758287,0.1298254520078387,0.12616136919315404,0.35403422982885085,0.20244498777506112,
career_races,career_recent_form,"(-0.001, 4.0]",2705,2.765619223659889,-0.3867202486530476,0.0961086918143204,0.09648798521256932,0.2698706099815157,0.11460258780036968,
career_races,career_recent_form,"(4.0, 6.0]",1965,5.506361323155216,-0.39655144809324033,0.10844476813542149,0.11959287531806616,0.2910941475826972,0.166412213740458,
career_races,career_recent_form,"(6.0, 8.0]",2174,7.509659613615455,-0.48756975497465216,0.09722754575745872,0.09889604415823366,0.2700091996320147,0.12787488500459981,
career_races,career_recent_form,"(8.0, 10.0]",2171,9.491017964071856,-0.5741943836764455,0.08964314481490106,0.09212344541685859,0.2584062643942883,0.0981114693689544,
career_races,career_recent_form,"(10.0, 12.0]",2088,11.48611111111111,-0.6722269655728974,0.07745234299758312,0.07998084291187739,0.24473180076628354,0.07231800766283525,
career_races,career_recent_form,"(12.0, 14.0]",1841,13.491580662683324,-0.6868799854885593,0.07063752932649188,0.07658881042911461,0.23030961434003258,0.052145573058120585,
career_races,career_recent_form,"(14.0, 17.0]",2296,15.956881533101045,-0.716299388956081,0.06739668782392223,0.06184668989547038,0.21689895470383275,0.04660278745644599,
career_races,career_recent_form,"(17.0, 21.0]",2267,19.39170710189678,-0.8099268372626632,0.0554366350202909,0.044993383325981476,0.1768857520952801,0.029113365681517425,
career_races,career_recent_form,"(21.0, 26.0]",1946,23.78520041109969,-0.9427067871567847,0.048462758694868595,0.04367934224049332,0.17163412127440905,0.023638232271325797,
career_races,career_recent_form,"(26.0, 84.0]",2075,34.05156626506024,-1.2532785623293046,0.03925479925895389,0.038072289156626506,0.13012048192771083,0.015903614457831325,
prize_ratio_vs_last3_mean,race_class_prize,"(0.1, 0.764]",2155,0.5555307,-0.2484648841564821,0.10453490270524096,0.11090487238979119,0.28584686774942,0.13410672853828307,
prize_ratio_vs_last3_mean,race_class_prize,"(0.764, 0.908]",2167,0.85180026,-0.7723297123571745,0.07006531609087996,0.06783571758191048,0.21596677434240885,0.06645131518227965,
prize_ratio_vs_last3_mean,race_class_prize,"(0.908, 1.0]",3872,0.98916876,-0.8462651616424299,0.06605487007515456,0.06482438016528926,0.2141012396694215,0.062241735537190084,
prize_ratio_vs_last3_mean,race_class_prize,"(1.0, 1.008]",987,1.0073478,-1.0209933825589548,0.06505482142544454,0.06382978723404255,0.19959473150962512,0.05167173252279635,
prize_ratio_vs_last3_mean,race_class_prize,"(1.008, 1.019]",1625,1.0153161,-0.9720065158576112,0.06132013733560313,0.06523076923076923,0.19138461538461538,0.048,
prize_ratio_vs_last3_mean,race_class_prize,"(1.019, 1.097]",2124,1.0540663,-0.9013099385579644,0.06642485373803823,0.0696798493408663,0.21657250470809794,0.06308851224105462,
prize_ratio_vs_last3_mean,race_class_prize,"(1.097, 1.214]",2196,1.1483699,-0.7283530052730258,0.07223205189918007,0.07331511839708561,0.21948998178506376,0.06602914389799636,
prize_ratio_vs_last3_mean,race_class_prize,"(1.214, 1.373]",2099,1.2788746,-0.6254922590951209,0.08016414505661605,0.06955693187232015,0.22153406383992377,0.0843258694616484,
prize_ratio_vs_last3_mean,race_class_prize,"(1.373, 1.695]",2153,1.4759382,-0.5978411382913112,0.08255776615173134,0.08964235949837436,0.23734324198792384,0.08406874129122155,
prize_ratio_vs_last3_mean,race_class_prize,"(1.695, 31.25]",2150,3.0329247,-0.24597331865920968,0.08584073002060157,0.08046511627906977,0.25534883720930235,0.0869767441860465,
weighted_margin_last3,finish_margin_performance,"(-0.001, 2.0]",2263,0.92664605,0.39455291870444353,0.15643109639188674,0.14626601855943439,0.3866548828988069,0.28811312417145385,
weighted_margin_last3,finish_margin_performance,"(2.0, 3.6]",2177,2.9036746,0.16087531159721752,0.1327422036511233,0.12723932016536518,0.35140101056499773,0.19292604501607716,
weighted_margin_last3,finish_margin_performance,"(3.6, 5.0]",2140,4.359486,-0.09455699187252535,0.10632072168369319,0.10233644859813085,0.31121495327102805,0.102803738317757,
weighted_margin_last3,finish_margin_performance,"(5.0, 6.4]",2087,5.75702,-0.3394305155456555,0.08599522492608619,0.08864398658361285,0.25970292285577384,0.06420699568758984,
weighted_margin_last3,finish_margin_performance,"(6.4, 8.0]",2209,7.2346764,-0.5509170053611497,0.0696943780805775,0.07514712539610684,0.24400181077410593,0.032593933906745136,
weighted_margin_last3,finish_margin_performance,"(8.0, 9.7]",2108,8.875332,-0.7904816073365666,0.05864597788945764,0.05502846299810247,0.18785578747628084,0.025616698292220113,
weighted_margin_last3,finish_margin_performance,"(9.7, 11.9]",2182,10.808066,-1.0719077683539124,0.043610911700382164,0.042621448212648946,0.14986251145737856,0.011457378551787351,
