feature,feature_group,gain_importance,split_importance,permutation_importance,mean_abs_shap,gain_importance_rank,split_importance_rank,permutation_importance_rank,mean_abs_shap_rank
weighted_adjusted_performance_last3,finish_margin_performance,622374.362341404,649.0,0.0006414176740969733,0.18727190191552415,1,10,2,1
career_win_rate,career_recent_form,178665.83284664154,1667.0,0.0006871536881398634,0.17034955514156444,4,3,1,2
last1_raw_performance,finish_margin_performance,305703.34935569763,1116.0,0.0005306944777257299,0.1599441153051799,2,6,3,3
career_races,career_recent_form,121449.20610618591,2450.0,0.0005117246039093559,0.09328265986204605,5,2,4,4
prize_ratio_vs_last3_mean,race_class_prize,200121.36371803284,2687.0,0.0004537312546406142,0.07827271726628492,3,1,5,5
weighted_margin_last3,finish_margin_performance,85757.63983106613,803.0,-2.5404101735237994e-05,0.07415785116792419,8,8,103,6
recent3_place_rate,career_recent_form,105223.90197181702,568.0,0.00011658841024512455,0.0683067379110625,6,15,8,7
last1_adjusted_performance,finish_margin_performance,66226.16540431976,445.0,9.22830843742041e-05,0.06580888851286065,10,22,10,8
mean_adjusted_performance_last3,finish_margin_performance,89405.06887626648,1068.0,3.263436435576734e-05,0.054862622655988784,7,7,21,9
prize_change_from_last3_mean,race_class_prize,68655.50851249695,1200.0,0.00011232737209167752,0.04593145109344752,9,5,9,10
last2_adjusted_performance,finish_margin_performance,33528.53475570679,623.0,-1.8636415190669577e-05,0.04095463274228208,14,12,102,11
races_last_180d,career_recent_form,47874.69798183441,1370.0,0.0002624269032520266,0.04026756779101513,13,4,6,12
mean_margin_last3,finish_margin_performance,64622.10310935974,559.0,-6.259733327906279e-05,0.039006017856759716,11,16,104,13
last1_distance,course_distance_fit,18658.140887737274,768.0,0.00016172374900758472,0.035013869467174746,19,9,7,14
last3_field_top3_mean_strength_v2,other,24659.780193328857,629.0,3.9208930651867556e-05,0.03289257784302851,16,11,18,15
career_places,career_recent_form,12419.478566169739,623.0,3.171652556125705e-05,0.027339104005580518,27,13,22,16
last2_field_strength_v2,opponent_field_strength,11171.528987407684,463.0,2.6087067381267103e-05,0.026102480889454008,29,21,23,17
last2_raw_performance,finish_margin_performance,22243.41742658615,402.0,-2.368420218266711e-06,0.02589085788434453,17,24,85,18
best_strong_opponent_performance_last3,finish_margin_performance,49414.93369245529,492.0,5.65841513636145e-06,0.02528365595536367,12,18,37,19
last3_field_strength_v2,opponent_field_strength,12935.98107099533,430.0,5.382227607109736e-05,0.024083413832727416,25,23,14,20
last2_distance,course_distance_fit,12964.882385253906,490.0,7.814034241105001e-05,0.021623101191786058,24,19,11,21
last2_field_top3_mean_strength_v2,other,19884.544944763184,550.0,2.466725463225646e-05,0.019793586889101104,18,17,24,22
current_distance,course_distance_fit,11606.225702285767,402.0,3.532430333026288e-05,0.019416931374258407,28,25,20,23
recent3_win_rate,career_recent_form,12589.849423408508,204.0,5.066363726215622e-05,0.018054521737850524,26,41,16,24
last1_field_strength_v2,opponent_field_strength,11089.10567331314,466.0,6.156184931094266e-05,0.0168245344881692,31,20,13,25
last1_margin_x_prize_strength,finish_margin_performance,15543.923698425293,196.0,4.1463251981415745e-06,0.01590898403317432,21,42,41,26
last1_field_top3_mean_strength_v2,other,15152.77887248993,392.0,4.4619864968006157e-05,0.014583803355215577,22,26,17,27
last3_margin_x_prize_strength,finish_margin_performance,5622.929409980774,246.0,-6.886295045422629e-06,0.011963344956476834,38,34,98,28
prize_ratio_vs_last1,race_class_prize,28273.7960729599,576.0,1.4345849696012145e-05,0.011859409706195843,15,14,28,29
last3_field_strength,opponent_field_strength,17522.481177330017,196.0,6.889442976091426e-05,0.011761452686920975,20,43,12,30
best_adjusted_performance_last3,finish_margin_performance,11010.005397319794,161.0,8.239381820462563e-06,0.011666802796264173,32,50,33,31
last3_adjusted_performance,finish_margin_performance,6452.316592216492,260.0,1.2540772901279557e-05,0.01110714774097496,34,33,29,32
last1_position_advantage,pace_position_draw,6404.256587028503,318.0,4.015341067988819e-06,0.010765020331354598,35,29,42,33
last3_position_advantage,pace_position_draw,5260.90584897995,333.0,7.957509158742932e-06,0.008143615539788816,41,27,34,34
mean_winner_strength_last3,opponent_field_strength,14279.082187652588,264.0,3.6078689048753394e-05,0.007689712189878556,23,32,19,35
last2_winner_strength,opponent_field_strength,11137.64530324936,219.0,5.220114145187797e-05,0.007257139146807764,30,36,15,36
last2_position_advantage,pace_position_draw,4691.450345516205,322.0,1.5172827596617033e-05,0.007108835685182421,45,28,27,37
last2_margin_x_prize_strength,finish_margin_performance,2901.9446682929993,107.0,-4.363918785991437e-06,0.007047964528705657,55,60,93,38
last2_field_max_strength_v2,other,5515.134393215179,207.0,9.810103144354312e-06,0.006729840794061229,39,39,31,39
last2_margin,finish_margin_performance,2630.2793316841125,63.0,1.8860700590408775e-06,0.006676131050553177,59,70,50,40
last3_raw_performance,finish_margin_performance,5759.781767845154,213.0,-2.369181373849718e-06,0.006660096512069299,37,38,86,41
weighted_winner_strength_last3,opponent_field_strength,2988.90580368042,102.0,-2.530321105709161e-06,0.005023107320176568,53,62,87,42
last3_field_max_strength_v2,other,5794.913090705872,147.0,1.87430238118326e-05,0.00494040651483312,36,54,26,43
race_first_prize,race_class_prize,3927.234130859375,205.0,-7.974864065436968e-06,0.0046466077268556396,49,40,101,44
last1_margin,finish_margin_performance,3997.715006828308,43.0,3.393188183931662e-06,0.004599218694194156,48,80,44,45
race_total_top5_prize,race_class_prize,3843.9800271987915,167.0,1.8571332754674142e-06,0.004559178933480945,50,47,51,46
setup_improvement,pace_position_draw,2593.026120185852,157.0,-7.549685914637801e-07,0.004510595532308053,60,52,77,47
race_second_prize,race_class_prize,3378.510274410248,164.0,-1.5001268565892345e-06,0.004118789576718954,52,48,81,48
last1_margin_x_winner_strength_v2,finish_margin_performance,1866.7499713897705,105.0,-3.351245259176789e-06,0.00409892171988493,65,61,90,49
last1_winner_strength,opponent_field_strength,8526.441061973572,243.0,-2.728409306180258e-06,0.004034156745908245,33,35,88,50
