feature_a,feature_b,correlation,group_a,group_b
last1_position_advantage,setup_improvement,-1.0,pace_position_draw,pace_position_draw
race_first_prize,race_total_top5_prize,0.9999942367787338,race_class_prize,race_class_prize
race_total_top5_prize,race_second_prize,0.9995095552550497,race_class_prize,race_class_prize
race_first_prize,race_second_prize,0.9994910925419773,race_class_prize,race_class_prize
last3_adjusted_performance,last3_raw_performance,0.9992061405122077,finish_margin_performance,finish_margin_performance
last2_adjusted_performance,last2_raw_performance,0.9991226946912493,finish_margin_performance,finish_margin_performance
last1_raw_performance,last1_adjusted_performance,0.999109524229089,finish_margin_performance,finish_margin_performance
last1_margin_x_prize_strength,last1_margin,0.9989437648195473,finish_margin_performance,finish_margin_performance
last2_margin_x_prize_strength,last2_margin,0.998909206745662,finish_margin_performance,finish_margin_performance
last3_field_top3_mean_strength_v2,last3_field_max_strength_v2,0.9673802983588772,other,other
weighted_margin_last3,mean_margin_last3,0.9633442200969251,finish_margin_performance,finish_margin_performance
last2_field_top3_mean_strength_v2,last2_field_max_strength_v2,0.9586282341095995,other,other
mean_winner_strength_last3,weighted_winner_strength_last3,0.9583400328014421,opponent_field_strength,opponent_field_strength
last3_field_top3_mean_strength_v2,last3_field_strength_v2,0.9468355304045102,other,opponent_field_strength
last2_field_strength_v2,last2_field_top3_mean_strength_v2,0.9407816549350069,opponent_field_strength,other
last1_margin_x_prize_strength,last1_margin_x_winner_strength_v2,0.9403963961876569,finish_margin_performance,finish_margin_performance
last1_field_strength_v2,last1_field_top3_mean_strength_v2,0.9380120543950752,opponent_field_strength,other
last1_margin,last1_margin_x_winner_strength_v2,0.9326417184044603,finish_margin_performance,finish_margin_performance
weighted_adjusted_performance_last3,mean_adjusted_performance_last3,0.9015105109294291,finish_margin_performance,finish_margin_performance
last3_field_strength_v2,last3_field_max_strength_v2,0.8891755337319349,opponent_field_strength,other
prize_ratio_vs_last3_mean,prize_ratio_vs_last1,0.8857114257545291,race_class_prize,race_class_prize
mean_adjusted_performance_last3,best_adjusted_performance_last3,0.8835570951711343,finish_margin_performance,finish_margin_performance
weighted_margin_last3,last1_margin,0.8781193724525773,finish_margin_performance,finish_margin_performance
weighted_margin_last3,last1_margin_x_prize_strength,0.8739788280203126,finish_margin_performance,finish_margin_performance
last2_field_strength_v2,last2_field_max_strength_v2,0.8701396748739207,opponent_field_strength,other
recent3_place_rate,mean_adjusted_performance_last3,0.8620166916427929,career_recent_form,finish_margin_performance
