date,race_id,ranker_top1_horse,ranker_rank,ranker_probability,ranker_popularity,ranker_odds,ranker_actual_rank,winner_horse,winner_popularity,winner_odds,top10_positive_shap
2025-09-28 00:00:00,2025-0928-09-04-09-10,メイショウフウドウ,1,0.17012664248405,7,17.5,13,シュラザック,1,3.6,"[{""feature"": ""career_win_rate"", ""shap"": 0.27323920104519833, ""feature_value"": 0.3333333432674408}, {""feature"": ""last1_raw_performance"", ""shap"": 0.2327585920997332, ""feature_value"": 1.0}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.19178483050613437, ""feature_value"": 0.6134142875671387}, {""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.13963029899176124, ""feature_value"": 0.8117647171020508}, {""feature"": ""career_races"", ""shap"": 0.09326818903521615, ""feature_value"": 9}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.07924150447586223, ""feature_value"": 0.9844728112220764}, {""feature"": ""last3_field_top3_mean_strength_v2"", ""shap"": 0.07506518069304029, ""feature_value"": 0.4103282690048218}, {""feature"": ""prize_change_from_last3_mean"", ""shap"": 0.05432634186412745, ""feature_value"": -4266666.5}, {""feature"": ""last3_field_strength"", ""shap"": 0.042299434447939356, ""feature_value"": 0.4571957588195801}, {""feature"": ""last3_field_strength_v2"", ""shap"": 0.03777602393614996, ""feature_value"": 0.3119712471961975}]"
2025-10-18 00:00:00,2025-1018-04-04-01-11,ソルトクィーン,1,0.1896072302713952,5,14.1,2,フリッカージャブ,1,1.6,"[{""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.2608480258845458, ""feature_value"": 0.860819399356842}, {""feature"": ""last1_raw_performance"", ""shap"": 0.23166628965760597, ""feature_value"": 0.9692307710647583}, {""feature"": ""recent3_place_rate"", ""shap"": 0.14422177951301773, ""feature_value"": 1.0}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.11556012064588739, ""feature_value"": 0.6000000238418579}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.09217535174396821, ""feature_value"": 0.8521925210952759}, {""feature"": ""career_win_rate"", ""shap"": 0.08843212986804294, ""feature_value"": 0.23076923191547394}, {""feature"": ""mean_margin_last3"", ""shap"": 0.07458735074186741, ""feature_value"": 0.6666666865348816}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.07123575398474907, ""feature_value"": 0.9692307710647583}, {""feature"": ""best_strong_opponent_performance_last3"", ""shap"": 0.05431763870768453, ""feature_value"": 0.35555556416511536}, {""feature"": ""last2_raw_performance"", ""shap"": 0.04905162321975409, ""feature_value"": 0.5873467922210693}]"
2025-10-18 00:00:00,2025-1018-05-04-06-09,スマートプリエール,1,0.2343911379545764,4,6.4,4,アンドゥーリル,1,2.3,"[{""feature"": ""last1_raw_performance"", ""shap"": 0.2195759789952239, ""feature_value"": 0.5471875667572021}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.1943460156939372, ""feature_value"": 0.6479790806770325}, {""feature"": ""career_races"", ""shap"": 0.16620643872912427, ""feature_value"": 3}, {""feature"": ""career_win_rate"", ""shap"": 0.15708738553742038, ""feature_value"": 0.3333333432674408}, {""feature"": ""recent3_place_rate"", ""shap"": 0.11929086082394515, ""feature_value"": 1.0}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.10222229126853409, ""feature_value"": 2.299999952316284}, {""feature"": ""mean_margin_last3"", ""shap"": 0.06936394850542606, ""feature_value"": 2.3333332538604736}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.06701698896338734, ""feature_value"": 0.548091471195221}, {""feature"": ""last1_distance"", ""shap"": 0.06580198839718401, ""feature_value"": 1800}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.05576443170155701, ""feature_value"": 0.6483280658721924}]"
2025-10-18 00:00:00,2025-1018-08-03-06-11,リバートゥルー,1,0.2254399294156832,4,7.6,14,レイナデアルシーラ,1,3.2,"[{""feature"": ""last1_raw_performance"", ""shap"": 0.22077613665768156, ""feature_value"": 0.9733333587646484}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.18779365552615826, ""feature_value"": 0.7496717572212219}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.0988906754033605, ""feature_value"": 2.4000000953674316}, {""feature"": ""recent3_place_rate"", ""shap"": 0.09221652955600171, ""feature_value"": 0.6666666865348816}, {""feature"": ""last2_adjusted_performance"", ""shap"": 0.07251702304576223, ""feature_value"": 0.5539929270744324}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.06823553846707105, ""feature_value"": 0.671567440032959}, {""feature"": ""best_strong_opponent_performance_last3"", ""shap"": 0.06335226437440887, ""feature_value"": 0.375}, {""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.05589257653858826, ""feature_value"": 1.0}, {""feature"": ""prize_change_from_last3_mean"", ""shap"": 0.04543369024055013, ""feature_value"": 0.0}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.04322580117916538, ""feature_value"": 0.971106767654419}]"
2025-10-26 00:00:00,2025-1026-04-04-04-11,フィオライア,1,0.2265812465945481,10,24.5,4,イコサン,1,3.4,"[{""feature"": ""career_win_rate"", ""shap"": 0.26109061217985396, ""feature_value"": 0.4166666567325592}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.20444379781862365, ""feature_value"": 0.5625861883163452}, {""feature"": ""last1_raw_performance"", ""shap"": 0.13857425659112568, ""feature_value"": 0.5085775256156921}, {""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.1241202259103952, ""feature_value"": 0.8709677457809448}, {""feature"": ""career_races"", ""shap"": 0.08201682886040144, ""feature_value"": 12}, {""feature"": ""last2_field_strength_v2"", ""shap"": 0.07657495668903075, ""feature_value"": 0.305980384349823}, {""feature"": ""last3_field_strength_v2"", ""shap"": 0.059917011918619666, ""feature_value"": 0.26150843501091003}, {""feature"": ""last3_field_top3_mean_strength_v2"", ""shap"": 0.047690491226363485, ""feature_value"": 0.34951266646385193}, {""feature"": ""best_strong_opponent_performance_last3"", ""shap"": 0.04321883365243208, ""feature_value"": 0.4000000059604645}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.043206524044707886, ""feature_value"": 0.5085775256156921}]"
2025-10-26 00:00:00,2025-1026-05-04-09-10,ミーントゥビー,1,0.2378375412292261,5,7.9,3,クリニクラウン,1,2.9,"[{""feature"": ""career_win_rate"", ""shap"": 0.14731991321416002, ""feature_value"": 0.20000000298023224}, {""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.1289376985492048, ""feature_value"": 0.9117646813392639}, {""feature"": ""career_races"", ""shap"": 0.10074116809494275, ""feature_value"": 10}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.09826321202895999, ""feature_value"": 0.4624275863170624}, {""feature"": ""mean_margin_last3"", ""shap"": 0.06093549918044418, ""feature_value"": 4.0}, {""feature"": ""last3_field_strength_v2"", ""shap"": 0.05820699646618661, ""feature_value"": 0.2770198881626129}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.050071352042430295, ""feature_value"": 4.599999904632568}, {""feature"": ""last3_field_top3_mean_strength_v2"", ""shap"": 0.04604514726359308, ""feature_value"": 0.3522222340106964}, {""feature"": ""prize_change_from_last3_mean"", ""shap"": 0.040852322572857425, ""feature_value"": -1500000.0}, {""feature"": ""last1_distance"", ""shap"": 0.04080028000152374, ""feature_value"": 1600}]"
2025-11-02 00:00:00,2025-1102-08-03-11-04,ウインシュクラン,1,0.3860794851012196,4,6.0,10,ゲインサポート,1,2.7,"[{""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.45553462445029325, ""feature_value"": 0.33157894015312195}, {""feature"": ""prize_change_from_last3_mean"", ""shap"": 0.09417255042409384, ""feature_value"": -16933334.0}, {""feature"": ""last3_field_top3_mean_strength_v2"", ""shap"": 0.05271029176212926, ""feature_value"": 0.3646549582481384}, {""feature"": ""last1_raw_performance"", ""shap"": 0.03926476314805033, ""feature_value"": 0.45455214381217957}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.035372987299955756, ""feature_value"": 0.42264845967292786}, {""feature"": ""last3_field_strength_v2"", ""shap"": 0.03365881141096468, ""feature_value"": 0.2448076456785202}, {""feature"": ""last2_position_advantage"", ""shap"": 0.03323868914181993, ""feature_value"": 0.34285715222358704}, {""feature"": ""last1_distance"", ""shap"": 0.02525184371557523, ""feature_value"": 1800}, {""feature"": ""career_places"", ""shap"": 0.0242549213771879, ""feature_value"": 9}, {""feature"": ""best_adjusted_performance_last3"", ""shap"": 0.02334235770555999, ""feature_value"": 0.4998646080493927}]"
2025-11-09 00:00:00,2025-1109-05-05-02-09,マヴィ,1,0.1426729649462697,12,155.0,15,サトノボヤージュ,1,1.7,"[{""feature"": ""career_win_rate"", ""shap"": 0.2800568736079963, ""feature_value"": 1.0}, {""feature"": ""last1_raw_performance"", ""shap"": 0.2200039884995116, ""feature_value"": 0.9583041667938232}, {""feature"": ""career_races"", ""shap"": 0.1744324621826194, ""feature_value"": 1}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.14285427096221331, ""feature_value"": 0.0}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.13249989989167024, ""feature_value"": 0.47457155585289}, {""feature"": ""recent3_place_rate"", ""shap"": 0.12713674121846943, ""feature_value"": 1.0}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.12667905804175647, ""feature_value"": 0.94914311170578}, {""feature"": ""mean_margin_last3"", ""shap"": 0.10883181407727115, ""feature_value"": 0.0}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.07934748312475921, ""feature_value"": 0.94914311170578}, {""feature"": ""last1_distance"", ""shap"": 0.0641378094808283, ""feature_value"": 1800}]"
2025-11-16 00:00:00,2025-1116-03-03-04-09,ランプローグ,1,0.1701065557158265,8,20.4,5,タマモイカロス,1,2.7,"[{""feature"": ""career_win_rate"", ""shap"": 0.2642095289423586, ""feature_value"": 0.5}, {""feature"": ""last1_raw_performance"", ""shap"": 0.21013090318054972, ""feature_value"": 0.5398483872413635}, {""feature"": ""career_races"", ""shap"": 0.15576694543399933, ""feature_value"": 2}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.15493148272413376, ""feature_value"": 0.5574154257774353}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.12748010886897002, ""feature_value"": 1.0}, {""feature"": ""recent3_place_rate"", ""shap"": 0.1156791081201999, ""feature_value"": 1.0}, {""feature"": ""mean_margin_last3"", ""shap"": 0.09594510292836304, ""feature_value"": 1.0}, {""feature"": ""last1_adjusted_performance"", ""shap"": 0.0879516938234167, ""feature_value"": 0.5398483872413635}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.07027316666909683, ""feature_value"": 0.749076247215271}, {""feature"": ""last2_adjusted_performance"", ""shap"": 0.03401170607531613, ""feature_value"": 0.9583041667938232}]"
2025-11-16 00:00:00,2025-1116-08-04-04-12,ショウナンラピダス,1,0.2671571634284218,4,9.1,10,ガイアメンテ,1,2.7,"[{""feature"": ""career_win_rate"", ""shap"": 0.17285072162903017, ""feature_value"": 0.30000001192092896}, {""feature"": ""weighted_adjusted_performance_last3"", ""shap"": 0.16958212236309683, ""feature_value"": 0.6333342790603638}, {""feature"": ""last1_raw_performance"", ""shap"": 0.12549057326968568, ""feature_value"": 0.4833444356918335}, {""feature"": ""career_races"", ""shap"": 0.08867161810361925, ""feature_value"": 10}, {""feature"": ""weighted_margin_last3"", ""shap"": 0.0773715088304052, ""feature_value"": 4.0}, {""feature"": ""mean_adjusted_performance_last3"", ""shap"": 0.07067034552513246, ""feature_value"": 0.6511397957801819}, {""feature"": ""last2_adjusted_performance"", ""shap"": 0.0653379186794155, ""feature_value"": 0.9764705896377563}, {""feature"": ""best_strong_opponent_performance_last3"", ""shap"": 0.04800030110097796, ""feature_value"": 0.3499999940395355}, {""feature"": ""prize_ratio_vs_last3_mean"", ""shap"": 0.047127001408862404, ""feature_value"": 1.0}, {""feature"": ""last1_distance"", ""shap"": 0.04279823233144189, ""feature_value"": 1800}]"
