feature,months_in_top20,mean_abs_shap,max_month_abs_shap,min_month_abs_shap
weighted_adjusted_performance_last3,12,0.18710289327572882,0.2071271102761993,0.16779193386417315
career_win_rate,12,0.17065069914451822,0.17885250369155825,0.15604525611453854
last1_raw_performance,12,0.16219007245990744,0.17972832940936775,0.14207755127589286
career_races,12,0.09355099946112032,0.10277201436419107,0.08253678812579826
prize_ratio_vs_last3_mean,12,0.07988889718968904,0.0971561793789365,0.06931319348750005
weighted_margin_last3,12,0.07429633503678379,0.08783139495481415,0.06393602968499712
recent3_place_rate,12,0.06819906095693733,0.07159990287690152,0.06447885843775643
last1_adjusted_performance,12,0.06362784883281593,0.07557940391369002,0.04639690700926636
mean_adjusted_performance_last3,12,0.05460807105074903,0.06391075661151743,0.03882407865964119
prize_change_from_last3_mean,12,0.04638195371093929,0.053661482159917936,0.04202753530614478
last2_adjusted_performance,12,0.04142493190265102,0.05062520859227287,0.033083465024434065
races_last_180d,12,0.040204381101269976,0.04483238703553421,0.03719959209748919
mean_margin_last3,12,0.03902185920473319,0.045024693342986255,0.03205494140647969
last1_distance,12,0.03502982458616794,0.03945275063348436,0.03183890524791959
last3_field_top3_mean_strength_v2,12,0.032620187372860286,0.034694990513037365,0.02939568967617889
career_places,12,0.026698664727216243,0.033113245139889634,0.01994536786514397
last2_field_strength_v2,12,0.025991474469255708,0.03388054668580266,0.019758180223137547
last2_raw_performance,12,0.025610642018844703,0.03246588046649946,0.01539178030683501
best_strong_opponent_performance_last3,12,0.024674462519888047,0.030367619469612462,0.02166298311369047
last3_field_strength_v2,12,0.023892478953470103,0.028519022193102702,0.019554344477287423
last2_distance,12,0.021827092881064002,0.024920610261804747,0.018725537627593453
last2_field_top3_mean_strength_v2,12,0.0198040073799284,0.025041580597281492,0.015128251542475667
current_distance,12,0.01962136820511878,0.02563509786259458,0.01706756559932263
recent3_win_rate,12,0.01773529643433916,0.024974402682841266,0.0132522096107893
last1_field_strength_v2,12,0.016594385679766118,0.02023059909811866,0.013755692278151009
last1_margin_x_prize_strength,12,0.015832688344612694,0.019016609653903005,0.011131056756977847
last1_field_top3_mean_strength_v2,12,0.014489612929932302,0.01980526136211858,0.01307750041978027
prize_ratio_vs_last1,12,0.011997932654041818,0.015035704192900198,0.00900039582505044
last3_field_strength,12,0.011969089635800572,0.013470766423725005,0.01013823319467371
best_adjusted_performance_last3,12,0.011792398088508986,0.02071255092240007,0.00516937215756356
last3_margin_x_prize_strength,12,0.011791854152186705,0.015286923005191508,0.008366800532423353
last3_adjusted_performance,12,0.010971297549141916,0.01596370012768719,0.006814560869113194
last1_position_advantage,12,0.010923450262037537,0.013598441169958156,0.00858337067645903
last3_position_advantage,12,0.008080975178182816,0.009432149504947038,0.00695887598327069
mean_winner_strength_last3,12,0.007779284757597584,0.011197142069708687,0.005728325141081283
last2_winner_strength,12,0.007268604597224307,0.011060221325014233,0.005410595115010942
last2_position_advantage,12,0.007120029126146254,0.008366139521786574,0.005280050429610308
last2_margin_x_prize_strength,12,0.0070466799475193895,0.011976202377816395,0.0045379481281385995
last3_raw_performance,12,0.0069853458420781325,0.011171946527583838,0.0038813698877437235
last2_field_max_strength_v2,12,0.00697059373131291,0.010733194146851048,0.005024117350428529
last2_margin,12,0.006674736540374883,0.01125146239089626,0.003960253884937827
weighted_winner_strength_last3,12,0.0054400461935464675,0.008064162090939122,0.0024256286560759223
last3_field_max_strength_v2,12,0.005121773515825976,0.006424273350690272,0.0031852717460311626
last1_margin,12,0.0048296022658557355,0.007184162283446977,0.0012858546691156057
race_first_prize,12,0.004624833986655633,0.007348646305647803,0.0025719837005539034
race_total_top5_prize,12,0.004370495125362756,0.006639456885550549,0.0028783036707191643
setup_improvement,12,0.004246257007203953,0.006390510670763226,0.0018060120950949589
last1_winner_strength,12,0.004093793198008275,0.005731415871177921,0.0023531749916130174
race_second_prize,12,0.004078601835937269,0.006376758420106525,0.002016173447688282
last1_margin_x_winner_strength_v2,12,0.004039245163286553,0.006891092589969054,0.002081168752041416
last1_winner_max_prize_before_target,12,0.0038771662412286825,0.004561131317500666,0.0033018022947861243
last3_distance,12,0.0037898713783539174,0.005008029715589924,0.0025765033741433833
last1_winner_mean_prize_before_target,12,0.0037842877623713443,0.004940133346079655,0.002470180246892506
prize_change_from_last1,12,0.0037172670307608416,0.005652503408436586,0.0016388788798025523
race_third_prize,12,0.0035643971016096967,0.006792264386911672,0.0012630604160164258
last3_winner_max_prize_before_target,12,0.0034095160959136516,0.00481657548569476,0.0017219257600483275
last3_winner_mean_prize_before_target,12,0.003394490673943197,0.004681738155362198,0.002426713820078057
max_race_prize_last3,12,0.0029289298823808995,0.004824893451938107,0.0014267376325880164
races_last_365d,12,0.0028954320143448832,0.004017221252664574,0.001899113163437524
last1_field_strength,12,0.002850862915133586,0.005513965740220988,0.0014747738726604183
last1_race_first_prize,12,0.0028005332472715375,0.0047254263488189134,0.0012815052092218402
last2_winner_mean_prize_before_target,12,0.002514162930685423,0.003775252987943139,0.001425553286723646
last2_winner_strength_v2,12,0.0022662463219165403,0.005233065899911592,0.0010569473302727687
last3_race_first_prize,12,0.001675315235648172,0.0029773695177016733,0.0
hidden_strength_last3,12,0.0016153539814166536,0.0022680514814475213,0.0009800933353562036
last3_winner_strength_v2,12,0.0014252355821308205,0.0028714415724162,0.0007730015364455458
mean_race_prize_last3,12,0.0013730102287057705,0.002826614525824766,0.0005994253164055473
margin_x_field_strength,12,0.0013349251101290726,0.0021768212504252238,0.0007711478782235692
weighted_race_prize_last3,12,0.0011793719946101777,0.0017159513076623147,0.0006117935415974548
max_hidden_strength_last3,12,0.0011636478812861466,0.002128724697407186,0.0004080858342321016
last2_margin_x_winner_strength_v2,12,0.001161322133447462,0.0021400210084534617,0.0
last3_margin,12,0.0010940587278144389,0.004138549267872644,0.0
margin_x_winner_strength,12,0.0009745055363020601,0.0019373400351677301,0.0005375986863633364
best_margin_last3,12,0.0009003491828189139,0.002348079726739388,0.0
max_winner_strength_last3,12,0.000722939447043272,0.0010984761651487865,0.000210967185168635
last1_winner_strength_v2,12,0.0007217385253568991,0.0012834928516655831,0.00036093300421389336
last3_margin_x_winner_strength_v2,12,0.0006777020922026921,0.0017562387974907959,3.511245215950364e-05
last3_winner_strength,12,0.0006085718695700802,0.0008280220489233216,8.792930266832137e-05
last2_field_strength,12,0.0006037388979695755,0.0010145740196324396,0.00013456869437834375
last1_field_max_strength_v2,12,0.0005886690614557509,0.00108303093797488,8.447173361747983e-05
last2_race_first_prize,12,0.0005850277030786422,0.0011799967223522707,0.0003310831384134397
