condition,excluded_largest_payouts,bets_remaining,win_roi,profit
No EV condition (baseline),0,1627,69.72956361401353,-49250.0
No EV condition (baseline),1,1626,68.61623616236162,-51030.0
No EV condition (baseline),3,1624,67.02586206896551,-53550.0
EV >= 0.7,0,992,64.61693548387096,-35100.0
EV >= 0.7,1,991,62.78506559031282,-36880.0
EV >= 0.7,3,989,60.16177957532861,-39400.0
EV >= 0.8,0,761,58.64651773981603,-31470.0
EV >= 0.8,1,760,56.25,-33250.0
EV >= 0.8,3,758,52.810026385224276,-35770.0
EV >= 0.9,0,617,58.200972447325775,-25790.0
EV >= 0.9,1,616,55.24350649350649,-27570.0
EV >= 0.9,3,614,50.99348534201954,-30090.0
EV >= 1,0,469,58.67803837953092,-19380.0
EV >= 1,1,468,54.78632478632479,-21160.0
EV >= 1,3,466,49.18454935622318,-23680.0
EV >= 1.05,0,416,56.89903846153847,-17930.0
EV >= 1.05,1,415,52.50602409638554,-19710.0
EV >= 1.05,3,413,46.17433414043583,-22230.0
EV >= 1.1,0,372,53.17204301075269,-17420.0
EV >= 1.1,1,371,48.24797843665768,-19200.0
EV >= 1.1,3,369,41.13821138211382,-21720.0
EV >= 1.2,0,290,52.96551724137931,-13640.0
EV >= 1.2,1,289,46.64359861591695,-15420.0
EV >= 1.2,3,287,37.49128919860627,-17940.0
EV >= 1.3,0,234,48.97435897435897,-11940.0
EV >= 1.3,1,233,41.11587982832618,-13720.0
EV >= 1.3,3,231,29.6969696969697,-16240.0
EV >= 1.5,0,165,51.090909090909086,-8070.0
EV >= 1.5,1,164,39.9390243902439,-9850.0
EV >= 1.5,3,162,23.641975308641975,-12370.0
EV >= 2,0,77,59.74025974025974,-3100.0
EV >= 2,1,76,35.78947368421053,-4880.0
EV >= 2,3,74,0.0,-7400.0
