condition,month,total_races,bets,bet_rate,wins,hit_rate,average_predicted_probability,actual_win_rate,average_odds,average_popularity,average_ev,total_stake,total_payout,win_roi,profit
EV >= 1,2025-09,80,25,0.3125,2,0.08,0.2958423573107643,0.08,6.055999956130981,3,1.4847387337974771,2500.0,720.0,28.799999999999997,-1780.0
EV >= 1,2025-10,92,33,0.358695652173913,6,0.18181818181818182,0.2510764332567068,0.18181818181818182,7.975757606101759,3.6666666666666665,1.8240455980372332,3300.0,4030.0,122.12121212121212,730.0
EV >= 1,2025-11,123,45,0.36585365853658536,5,0.1111111111111111,0.26005005046846397,0.1111111111111111,12.04888891643948,3.7111111111111112,2.3180302278738294,4500.0,2940.0,65.33333333333333,-1560.0
EV >= 1,2025-12,99,24,0.24242424242424243,1,0.041666666666666664,0.2188828261050812,0.041666666666666664,11.437499950329462,4.333333333333333,1.9408868833483044,2400.0,730.0,30.416666666666664,-1670.0
EV >= 1,2026-01,160,37,0.23125,3,0.08108108108108109,0.23868327242137596,0.08108108108108109,7.162162136387181,3.6486486486486487,1.4887238069123558,3700.0,1550.0,41.891891891891895,-2150.0
EV >= 1,2026-02,171,49,0.28654970760233917,5,0.10204081632653061,0.21948024768338953,0.10204081632653061,8.593877534477079,3.6530612244897958,1.6557680172905385,4900.0,3410.0,69.59183673469389,-1490.0
EV >= 1,2026-03,182,42,0.23076923076923078,2,0.047619047619047616,0.23114292480013204,0.047619047619047616,6.73095238776434,3.5238095238095237,1.3589375211490589,4200.0,1060.0,25.238095238095237,-3140.0
EV >= 1,2026-04,160,37,0.23125,4,0.10810810810810811,0.2244004250954012,0.10810810810810811,6.85135132557637,3.5945945945945947,1.4152534157219896,3700.0,2350.0,63.51351351351351,-1350.0
EV >= 1,2026-05,206,55,0.2669902912621359,7,0.12727272727272726,0.21544170828167197,0.12727272727272726,10.196363566138528,4.054545454545455,1.8178225885054766,5500.0,4570.0,83.0909090909091,-930.0
EV >= 1,2026-06,135,45,0.3333333333333333,7,0.15555555555555556,0.29097691134623865,0.15555555555555556,6.124444447623359,2.977777777777778,1.5199246270349875,4500.0,2870.0,63.77777777777778,-1630.0
EV >= 1,2026-07,144,56,0.3888888888888889,6,0.10714285714285714,0.2828469527361302,0.10714285714285714,5.817857154778072,2.875,1.5140633173691778,5600.0,1930.0,34.464285714285715,-3670.0
EV >= 1,2026-08,75,21,0.28,3,0.14285714285714285,0.2893732012165989,0.14285714285714285,5.185714267549061,2.5238095238095237,1.4670460359504787,2100.0,1360.0,64.76190476190476,-740.0
EV >= 1.1,2025-09,80,19,0.2375,1,0.05263157894736842,0.3069597100395848,0.05263157894736842,6.394736791911878,3.1578947368421053,1.6250415209747977,1900.0,500.0,26.31578947368421,-1400.0
EV >= 1.1,2025-10,92,27,0.29347826086956524,4,0.14814814814814814,0.23756895929834812,0.14814814814814814,8.955555589110762,4.074074074074074,1.9970504250577414,2700.0,3480.0,128.88888888888889,780.0
EV >= 1.1,2025-11,123,39,0.3170731707317073,3,0.07692307692307693,0.26449594249121566,0.07692307692307693,13.130769258890396,3.948717948717949,2.511317063306092,3900.0,2060.0,52.820512820512825,-1840.0
EV >= 1.1,2025-12,99,19,0.1919191919191919,1,0.05263157894736842,0.2060999391660332,0.05263157894736842,13.38421048616108,4.842105263157895,2.176484385137555,1900.0,730.0,38.421052631578945,-1170.0
EV >= 1.1,2026-01,160,29,0.18125,1,0.034482758620689655,0.24254215334873316,0.034482758620689655,7.789655142817004,4.0344827586206895,1.610879328115405,2900.0,670.0,23.103448275862068,-2230.0
EV >= 1.1,2026-02,171,41,0.23976608187134502,4,0.0975609756097561,0.2196873188460448,0.0975609756097561,9.299999975576632,3.8780487804878048,1.7751270898231362,4100.0,2850.0,69.51219512195121,-1250.0
EV >= 1.1,2026-03,182,34,0.18681318681318682,2,0.058823529411764705,0.23515223488885648,0.058823529411764705,7.067647064433379,3.735294117647059,1.4313195041958104,3400.0,1060.0,31.176470588235293,-2340.0
EV >= 1.1,2026-04,160,27,0.16875,2,0.07407407407407407,0.22190215049824563,0.07407407407407407,7.581481447926274,4.074074074074074,1.5517510232974234,2700.0,1260.0,46.666666666666664,-1440.0
