condition,minimum_ev,total_races,bets,bet_rate,wins,hit_rate,average_predicted_probability,actual_win_rate,average_odds,average_popularity,average_ev,total_stake,total_payout,win_roi,profit
No EV condition (baseline),,1627,1627,1.0,405,0.24892440073755379,0.25326770876543003,0.24892440073755379,4.341364466711723,1.9532882606023356,0.9555255915924832,162700.0,113450.0,69.72956361401353,-49250.0
EV >= 0.7,0.7,1627,992,0.6097111247695144,180,0.1814516129032258,0.2636721159531644,0.1814516129032258,5.551008055046681,2.474798387096774,1.2232519664201302,99200.0,64100.0,64.61693548387096,-35100.0
EV >= 0.8,0.8,1627,761,0.4677320221266134,107,0.14060446780551905,0.2618897316784094,0.14060446780551905,6.286333761296667,2.806833114323259,1.3670196667292833,76100.0,44630.0,58.64651773981603,-31470.0
EV >= 0.9,0.9,1627,617,0.3792255685310387,76,0.12317666126418152,0.25763192466490764,0.12317666126418152,6.942139372640143,3.085899513776337,1.4881977279295322,61700.0,35910.0,58.200972447325775,-25790.0
EV >= 1,1.0,1627,469,0.288260602335587,51,0.10874200426439233,0.24966561760959533,0.10874200426439233,7.941791032168911,3.481876332622601,1.658490719871694,46900.0,27520.0,58.67803837953092,-19380.0
EV >= 1.05,1.05,1627,416,0.25568531038721576,41,0.0985576923076923,0.2502246486936178,0.0985576923076923,8.380769216097319,3.6514423076923075,1.7396732205839975,41600.0,23670.0,56.89903846153847,-17930.0
EV >= 1.1,1.1,1627,372,0.22864167178856792,31,0.08333333333333333,0.2485986530646637,0.08333333333333333,8.829838696987398,3.827956989247312,1.8177086469155035,37200.0,19780.0,53.17204301075269,-17420.0
EV >= 1.2,1.2,1627,290,0.1782421634910879,21,0.07241379310344828,0.24225861649563318,0.07241379310344828,9.981724122474933,4.251724137931035,2.0071636449072083,29000.0,15360.0,52.96551724137931,-13640.0
EV >= 1.3,1.3,1627,234,0.14382298709280886,14,0.05982905982905983,0.2351438583278995,0.05982905982905983,11.130769211002905,4.615384615384615,2.188447149926056,23400.0,11460.0,48.97435897435897,-11940.0
EV >= 1.5,1.5,1627,165,0.10141364474492932,9,0.05454545454545454,0.22756291323499983,0.05454545454545454,13.266666634877522,5.224242424242425,2.521167236738096,16500.0,8430.0,51.090909090909086,-8070.0
EV >= 2,2.0,1627,77,0.04732636754763368,3,0.03896103896103896,0.2131379225097086,0.03896103896103896,19.406493440850987,6.363636363636363,3.464617601590468,7700.0,4600.0,59.74025974025974,-3100.0
