mode,month,races,horses,brier,logloss,auc,top1_hit_rate,top3_hit_rate,top1_win_roi,top1_profit,rule_bets,rule_win_roi,rule_profit
monthly_walk_forward,2025-09,80,969,0.06958530263369447,0.2511687024793714,0.7540846456692915,0.25,0.6,61.0,-3120.0,27,73.70370370370371,-710.0
monthly_walk_forward,2025-10,92,1233,0.06209438675183982,0.22824839830738097,0.774939983995732,0.31521739130434784,0.5434782608695652,99.23913043478261,-70.0,27,108.88888888888889,240.0
monthly_walk_forward,2025-11,123,1672,0.06427149829764545,0.23869504094449395,0.7412072829572712,0.2682926829268293,0.5365853658536586,76.42276422764228,-2900.0,40,58.75,-1650.0
monthly_walk_forward,2025-12,99,1340,0.06319116477278194,0.23105476628503005,0.7612791899657331,0.26262626262626265,0.5151515151515151,68.98989898989899,-3070.0,23,46.95652173913044,-1220.0
monthly_walk_forward,2026-01,160,2155,0.06349510585919699,0.23241160031462232,0.7618546365914787,0.23125,0.55,76.4375,-3770.0,51,99.6078431372549,-20.0
monthly_walk_forward,2026-02,171,2326,0.06320726784173518,0.23218308931508197,0.7561498487130432,0.25146198830409355,0.5555555555555556,78.53801169590643,-3670.0,48,62.916666666666664,-1780.0
monthly_walk_forward,2026-03,182,2422,0.06458655083778715,0.23899921783850542,0.7437549058084774,0.25824175824175827,0.5384615384615384,86.81318681318682,-2400.0,59,122.88135593220339,1350.0
monthly_walk_forward,2026-04,160,2127,0.06451640699407911,0.23746582053519025,0.7490022877478393,0.2125,0.51875,58.25,-6680.0,45,48.44444444444444,-2320.0
monthly_walk_forward,2026-05,206,2792,0.062574781233771,0.22810261017270805,0.7767759932121431,0.3106796116504854,0.558252427184466,109.36893203883496,1930.0,66,141.5151515151515,2740.0
monthly_walk_forward,2026-06,135,1765,0.0654274162955778,0.23666154272446913,0.7648897977732333,0.21481481481481482,0.5111111111111111,67.4074074074074,-4400.0,45,100.44444444444444,20.0
monthly_walk_forward,2026-07,144,1804,0.06731421777124666,0.2443284426806367,0.7615001673360107,0.3194444444444444,0.5902777777777778,92.15277777777777,-1130.0,38,111.57894736842104,440.0
monthly_walk_forward,2026-08,75,923,0.06698001863232397,0.24463582023942965,0.7608490566037736,0.29333333333333333,0.5866666666666667,67.33333333333333,-2450.0,25,56.00000000000001,-1100.0
fixed,2025-09,80,969,0.06958530263369447,0.2511687024793714,0.7540846456692915,0.25,0.6,61.0,-3120.0,27,73.70370370370371,-710.0
fixed,2025-10,92,1233,0.06260437834711867,0.22954956126883286,0.7719106047326906,0.30434782608695654,0.532608695652174,94.1304347826087,-540.0,26,98.84615384615385,-30.0
fixed,2025-11,123,1672,0.06394547244073112,0.23649892534149325,0.7446451159153296,0.23577235772357724,0.5284552845528455,67.39837398373983,-4010.0,30,59.333333333333336,-1220.0
fixed,2025-12,99,1340,0.06319322500679962,0.23136256220765078,0.7597082834794359,0.2727272727272727,0.5151515151515151,74.04040404040404,-2570.0,24,50.83333333333333,-1180.0
fixed,2026-01,160,2155,0.0632598991994285,0.2316819534170497,0.7633959899749374,0.24375,0.56875,81.6875,-2930.0,51,110.78431372549021,550.0
fixed,2026-02,171,2326,0.06325955240124087,0.2328873471851581,0.7515664644984464,0.25146198830409355,0.543859649122807,77.19298245614034,-3900.0,45,67.11111111111111,-1480.0
fixed,2026-03,182,2422,0.0645062643517134,0.23799552711950567,0.7438162284144427,0.27472527472527475,0.5494505494505495,96.92307692307692,-560.0,52,154.6153846153846,2840.0
fixed,2026-04,160,2127,0.06470196335771826,0.23820778177516932,0.7476137519064564,0.2125,0.5125,56.375,-6980.0,47,39.57446808510638,-2840.0
fixed,2026-05,206,2792,0.06262619410403955,0.22833367887360556,0.776618310694629,0.3155339805825243,0.5631067961165048,105.92233009708738,1220.0,65,129.84615384615387,1940.0
fixed,2026-06,135,1765,0.06513277346324531,0.23594228178977578,0.768161781413315,0.2222222222222222,0.5185185185185185,71.33333333333334,-3870.0,34,133.52941176470588,1140.0
fixed,2026-07,144,1804,0.06739364160188309,0.24393710439045738,0.7636546184738956,0.2847222222222222,0.6041666666666666,77.15277777777779,-3290.0,34,56.470588235294116,-1480.0
fixed,2026-08,75,923,0.0670900575474777,0.24469003450100899,0.7600943396226415,0.32,0.6,78.0,-1650.0,17,52.94117647058824,-800.0
