popularity_band,gap_band,sample_size,win_hit_rate,place_hit_rate,average_odds,win_ROI,place_ROI,profit
1番人気,Q1,3,0.3333333333333333,1.0,28.666666666666668,-56.666666666666664,46.666666666666664,-170.0
1番人気,Q2,5,0.0,0.4,26.0,-100.0,-54.0,-500.0
1番人気,Q3,6,0.3333333333333333,0.5,25.833333333333332,-23.333333333333332,-35.0,-140.0
1番人気,Q4,6,0.16666666666666666,0.8333333333333334,21.5,-73.33333333333333,-5.0,-440.0
1番人気,Q5,10,0.5,0.8,19.9,1.0,-11.0,10.0
2〜3番人気,Q1,5,0.2,0.2,54.4,-18.0,-66.0,-90.0
2〜3番人気,Q2,2,0.0,0.5,68.0,-100.0,-15.0,-200.0
2〜3番人気,Q3,4,0.0,0.25,29.0,-100.0,-100.0,-400.0
2〜3番人気,Q4,4,0.0,0.25,42.75,-100.0,-67.5,-400.0
4〜6番人気,Q1,1,1.0,1.0,86.0,760.0,140.0,760.0
4〜6番人気,Q2,3,0.0,0.3333333333333333,96.33333333333333,-100.0,-33.33333333333333,-300.0
10番人気以下,Q1,1,0.0,0.0,1106.0,-100.0,-100.0,-100.0
