race_id,date,racecourse,surface,distance,class_code,race_class_label,race_class_score,top1_horse_id,top1_horse_name,top1_popularity,top1_popularity_band,top1_odds,top1_probability,p2_probability,p3_probability,gap_1_2,gap_2_3,gap_1_3,ratio_1_2,top1_actual_rank,top1_is_win,top1_is_place,top1_win_payout,top1_place_payout,market_probability,edge,expected_value
2026-0704-02-01-07-01,2026-07-04,函館,芝,1200.0,grade:unknown|condition:11,UNKNOWN,0,2024100255,アルテクィーン,1,1番人気,18.0,0.2980318325308107,0.2812684471013506,0.10610983077381797,0.016763385429460098,0.17515861632753266,0.19192200175699275,1.0595992390977993,2,0,1,0.0,110.0,0.05555555555555555,0.24247627697525517,5.364572985554593
2026-0704-02-01-07-02,2026-07-04,函館,芝,1800.0,grade:unknown|condition:12,UNKNOWN,0,2023106438,トリニタリオ,1,1番人気,21.0,0.2712985977810738,0.17189085037258972,0.14696523444092652,0.09940774740848407,0.024925615931663203,0.12433336334014727,1.57831901577663,2,0,1,0.0,110.0,0.047619047619047616,0.22367955016202618,5.69727055340255
2026-0704-02-01-07-03,2026-07-04,函館,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023105268,ラショナルポイント,3,2〜3番人気,36.0,0.3194732658485585,0.30468267227048895,0.25414270584178095,0.014790593578069555,0.050539966428708005,0.06533056000677756,1.048544255791937,6,0,0,0.0,0.0,0.027777777777777776,0.2916954880707807,11.501037570548107
2026-0704-02-01-07-04,2026-07-04,函館,芝,1200.0,grade:unknown|condition:12,UNKNOWN,0,2023102151,スッサンエア,3,2〜3番人気,58.0,0.1789749750746288,0.1636901083393984,0.1190871587087506,0.015284866735230412,0.0446029496306478,0.05988781636587821,1.0933768502586514,4,0,0,0.0,0.0,0.017241379310344827,0.16173359576428398,10.38054855432847
2026-0704-02-01-07-05,2026-07-04,函館,芝,1000.0,grade:unknown|condition:11,UNKNOWN,0,2024105553,リキサンステラ,3,2〜3番人気,46.0,0.12613004531014796,0.12613004531014796,0.12613004531014796,0.0,0.0,0.0,1.0,4,0,0,0.0,0.0,0.021739130434782608,0.10439091487536535,5.801982084266806
2026-0704-02-01-07-06,2026-07-04,函館,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023103441,レッドフロイデ,1,1番人気,21.0,0.3057519032374384,0.1554204220107459,0.11669707318193198,0.1503314812266925,0.038723348828813925,0.1890548300555064,1.9672569362622014,1,1,1,210.0,110.0,0.047619047619047616,0.2581328556183908,6.420789967986206
2026-0704-02-01-07-07,2026-07-04,函館,芝,1200.0,grade:unknown|condition:13,UNKNOWN,0,2023100997,デルマリシリ,1,1番人気,19.0,0.411186772290227,0.24881916005454083,0.2246627511093773,0.16236761223568616,0.02415640894516352,0.18652402118084968,1.6525526900745722,2,0,1,0.0,110.0,0.05263157894736842,0.35855519334285857,7.812548673514312
2026-0704-02-01-07-08,2026-07-04,函館,芝,2600.0,grade:unknown|condition:13,UNKNOWN,0,2022104973,バズアップビート,2,2〜3番人気,24.0,0.2395225036620401,0.2067536870421637,0.11116265659231853,0.03276881661987638,0.09559103044984518,0.12835984706972156,1.1584920544280004,7,0,0,0.0,0.0,0.041666666666666664,0.19785583699537343,5.748540087888962
2026-0704-02-01-07-09,2026-07-04,函館,芝,1800.0,grade:E|condition:13,UNKNOWN,0,2023103351,グレーヌドジョワ,1,1番人気,36.0,0.15855230795532554,0.15739949422957822,0.11294488488120703,0.0011528137257473259,0.044454609348371185,0.04560742307411851,1.00732412598522,2,0,1,0.0,140.0,0.027777777777777776,0.13077453017754775,5.707883086391719
2026-0704-02-01-07-10,2026-07-04,函館,芝,1700.0,grade:E|condition:13,UNKNOWN,0,2023102769,ケイアイアギト,1,1番人気,19.0,0.346978901674549,0.29230254634866526,0.18176463606206691,0.05467635532588372,0.11053791028659835,0.16521426561248206,1.187053982282674,1,1,1,190.0,120.0,0.05263157894736842,0.29434732272718056,6.5925991318164305
2026-0704-02-01-07-11,2026-07-04,函館,芝,1200.0,grade:E|condition:13,UNKNOWN,0,2022101443,サウスバンク,1,1番人気,28.0,0.2204267717251235,0.16910146870830792,0.14591029590667218,0.05132530301681559,0.02319117280163574,0.07451647581845133,1.3035177837831162,10,0,0,0.0,0.0,0.03571428571428571,0.18471248601083778,6.171949608303458
2026-0704-02-01-07-12,2026-07-04,函館,芝,1700.0,grade:unknown|condition:13,UNKNOWN,0,2023103061,ゴールドブレイズ,2,2〜3番人気,21.0,0.3239047846781998,0.2750168878477043,0.07622742455941586,0.04888789683049549,0.19878946328828842,0.2476773601187839,1.1777632537881386,3,0,1,0.0,0.0,0.047619047619047616,0.27628573705915216,6.802000478242196
2026-0704-03-02-03-01,2026-07-04,福島,芝,1800.0,grade:unknown|condition:11,UNKNOWN,0,2024106106,ウィンターブリーズ,1,1番人気,11.0,0.30609386442786796,0.1824326879369869,0.16567250739467937,0.12366117649088107,0.016760180542307518,0.1404213570331886,1.6778454995608805,2,0,1,0.0,100.0,0.09090909090909091,0.21518477351877704,3.3670325087065476
2026-0704-03-02-03-02,2026-07-04,福島,芝,2600.0,grade:unknown|condition:12,UNKNOWN,0,2023105686,ファランギーナ,1,1番人気,37.0,0.1718178696145347,0.15712810247235925,0.13804118856281458,0.014689767142175458,0.019086913909544673,0.03377668105172013,1.0934891143661558,3,0,1,0.0,190.0,0.02702702702702703,0.14479084258750768,6.357261175737785
2026-0704-03-02-03-03,2026-07-04,福島,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023102750,ワンダーブリッツ,1,1番人気,21.0,0.30156490245293915,0.22444236120676145,0.17786933902619215,0.0771225412461777,0.0465730221805693,0.12369556342674701,1.343618472161459,2,0,1,0.0,110.0,0.047619047619047616,0.25394585483389154,6.332862951511722
2026-0704-03-02-03-04,2026-07-04,福島,芝,1200.0,grade:unknown|condition:12,UNKNOWN,0,2023104425,リーデレクオーレ,2,2〜3番人気,78.0,0.1638408412506629,0.14469888516341467,0.07551429842647774,0.019141956087248224,0.06918458673693693,0.08832654282418516,1.1322882070973137,2,0,1,0.0,170.0,0.01282051282051282,0.15102032843015006,12.779585617551707
2026-0704-03-02-03-05,2026-07-04,福島,芝,1800.0,grade:unknown|condition:11,UNKNOWN,0,2024106264,スタースポット,2,2〜3番人気,41.0,0.06567814750955975,0.06567814750955975,0.06567814750955975,0.0,0.0,0.0,1.0,1,1,1,410.0,170.0,0.024390243902439025,0.04128790360712072,2.6928040478919497
2026-0704-03-02-03-06,2026-07-04,福島,芝,1700.0,grade:unknown|condition:11,UNKNOWN,0,2024103657,キタノバトゥーキ,13,10番人気以下,1106.0,0.059172243675665134,0.059172243675665134,0.059172243675665134,0.0,0.0,0.0,1.0,10,0,0,0.0,0.0,0.0009041591320072332,0.0582680845436579,65.44450150528564
2026-0704-03-02-03-07,2026-07-04,福島,芝,2000.0,grade:unknown|condition:12,UNKNOWN,0,2023105003,アールグレイ,2,2〜3番人気,33.0,0.2009019842427174,0.1383408761173962,0.10874794782865403,0.0625611081253212,0.029592928288742174,0.09215403641406338,1.4522243163490722,5,0,0,0.0,0.0,0.030303030303030304,0.1705989539396871,6.629765480009675
2026-0704-03-02-03-08,2026-07-04,福島,芝,1700.0,grade:unknown|condition:13,UNKNOWN,0,2022105863,ルシャルムール,1,1番人気,30.0,0.21672379180265394,0.19201458170779973,0.17553892793091172,0.024709210094854217,0.016475653776888005,0.04118486387174222,1.1286840294892588,4,0,0,0.0,0.0,0.03333333333333333,0.18339045846932062,6.501713754079618
2026-0704-03-02-03-09,2026-07-04,福島,芝,2000.0,grade:E|condition:13,UNKNOWN,0,2023107256,アローメタル,1,1番人気,15.0,0.2463985953486906,0.20079795660208252,0.15590653372529645,0.04560063874660808,0.044891422876786075,0.09049206162339415,1.2270971254800864,6,0,0,0.0,0.0,0.06666666666666667,0.17973192868202392,3.695978930230359
2026-0704-03-02-03-10,2026-07-04,福島,芝,1700.0,grade:E|condition:13,UNKNOWN,0,2022105847,ディーズゴールド,1,1番人気,27.0,0.11736871811860261,0.09257609261017896,0.08415485156701878,0.02479262550842365,0.00842124104316018,0.03321386655158383,1.2678080788397592,1,1,1,270.0,130.0,0.037037037037037035,0.08033168108156558,3.1689553892022704
2026-0704-03-02-03-11,2026-07-04,福島,芝,1150.0,grade:E|condition:13,UNKNOWN,0,2022103684,ゲイルライダー,1,1番人気,16.0,0.29295293550259827,0.10978281726337631,0.10752837262387951,0.18317011823922197,0.002254444639496797,0.18542456287871875,2.668477115137104,1,1,1,160.0,110.0,0.0625,0.23045293550259827,4.687246968041572
2026-0704-03-02-03-12,2026-07-04,福島,芝,1200.0,grade:unknown|condition:13,UNKNOWN,0,2023102694,トワニ,1,1番人気,33.0,0.23312999718784125,0.11644431096042515,0.07553456010507555,0.1166856862274161,0.040909750855349605,0.1575954370827657,2.002072881577469,4,0,0,0.0,0.0,0.030303030303030304,0.20282696688481094,7.6932899071987615
2026-0704-10-02-03-01,2026-07-04,小倉,芝,2860.0,grade:unknown|condition:18,UNKNOWN,0,2022101139,アバットゥータ,1,1番人気,14.0,0.26089446686063245,0.09040705580274508,0.08821365405639227,0.17048741105788737,0.0021934017463528105,0.1726808128042402,2.885775502189407,5,0,0,0.0,0.0,0.07142857142857142,0.18946589543206102,3.6525225360488545
2026-0704-10-02-03-02,2026-07-04,小倉,芝,1200.0,grade:unknown|condition:12,UNKNOWN,0,2023102639,ランスオブラヴ,3,2〜3番人気,64.0,0.08108284820821719,0.07051923383164324,0.05347543862188208,0.010563614376573952,0.01704379520976116,0.027607409586335112,1.1497976339588911,6,0,0,0.0,0.0,0.015625,0.06545784820821719,5.1893022853259
2026-0704-10-02-03-03,2026-07-04,小倉,芝,2600.0,grade:unknown|condition:12,UNKNOWN,0,2023107221,シャンドラファール,2,2〜3番人気,34.0,0.2540805319995278,0.18491045454142266,0.08316101295986349,0.06917007745810513,0.10174944158155917,0.1709195190396643,1.374073373134292,2,0,1,0.0,130.0,0.029411764705882353,0.22466876729364543,8.638738087983945
