method,phase,band,sample_size,predicted_probability_mean,actual_win_rate,difference
ranker,calibration,0-5%,3178,0.0239748527973183,0.025173064820641914,-0.0011982120233236145
ranker,calibration,5-10%,1624,0.07282214139388855,0.07450738916256158,-0.0016852477686730288
ranker,calibration,10-15%,895,0.12226659721452192,0.10837988826815642,0.013886708946365497
ranker,calibration,15-20%,457,0.17220959715859063,0.18599562363238512,-0.013786026473794483
ranker,calibration,20-30%,321,0.23805854486035777,0.27102803738317754,-0.03296949252281978
ranker,calibration,30-40%,80,0.34288268610345973,0.25,0.09288268610345973
ranker,calibration,40%+,32,0.486530062172587,0.375,0.11153006217258699
bt,calibration,0-5%,3106,0.026604978044691,0.02414681262073406,0.0024581654239569373
bt,calibration,5-10%,1806,0.07203086556610797,0.07419712070874862,-0.002166255142640655
bt,calibration,10-15%,878,0.12211379870900045,0.1275626423690205,-0.005448843660020061
bt,calibration,15-20%,390,0.17155666378113626,0.17435897435897435,-0.0028023105778380852
bt,calibration,20-30%,279,0.2367523564804429,0.25448028673835127,-0.017727930257908364
bt,calibration,30-40%,85,0.3416175181136075,0.32941176470588235,0.012205753407725173
bt,calibration,40%+,43,0.4665763800454191,0.32558139534883723,0.1409949846965819
pl,calibration,0-5%,3090,0.02655591024721042,0.02524271844660194,0.0013131918006084806
pl,calibration,5-10%,1832,0.07207289440334488,0.06986899563318777,0.0022038987701571144
pl,calibration,10-15%,862,0.12206624960062583,0.13109048723897912,-0.009024237638353291
pl,calibration,15-20%,395,0.1723017716276719,0.18227848101265823,-0.009976709384986321
pl,calibration,20-30%,280,0.2354917245835016,0.2392857142857143,-0.0037939897022127023
pl,calibration,30-40%,85,0.34164489754411304,0.32941176470588235,0.012233132838230687
pl,calibration,40%+,43,0.4569043875788852,0.37209302325581395,0.08481136432307124
ranker,validation,0-5%,7720,0.024957501114217354,0.02538860103626943,-0.00043109992205207434
ranker,validation,5-10%,4275,0.07248600632372543,0.06432748538011696,0.008158520943608472
ranker,validation,10-15%,2234,0.12263062009746142,0.13249776186213072,-0.009867141764669296
ranker,validation,15-20%,1094,0.17177405385032088,0.17550274223034734,-0.0037286883800264625
ranker,validation,20-30%,739,0.23917570804250432,0.2381596752368065,0.001016032805697814
ranker,validation,30-40%,199,0.33772749663405327,0.33668341708542715,0.00104407954862612
ranker,validation,40%+,53,0.46441837888205034,0.5849056603773585,-0.12048728149530813
bt,validation,0-5%,7615,0.027321380287444148,0.024425476034143138,0.00289590425330101
bt,validation,5-10%,4785,0.07171597092993891,0.07607105538140022,-0.004355084451461308
bt,validation,10-15%,1974,0.12182012310107539,0.12360688956433637,-0.0017867664632609803
bt,validation,15-20%,915,0.17160901900894834,0.18032786885245902,-0.008718849843510679
bt,validation,20-30%,751,0.24122659721155423,0.2396804260985353,0.0015461711130189404
bt,validation,30-40%,198,0.3419922942118213,0.2828282828282828,0.059164011383538495
bt,validation,40%+,76,0.46599926390561497,0.5,-0.03400073609438503
pl,validation,0-5%,7393,0.027686328087438716,0.024347355606654943,0.003338972480783773
pl,validation,5-10%,4914,0.0715880246702103,0.07203907203907203,-0.0004510473688617289
pl,validation,10-15%,2119,0.1215648877945762,0.13260972156677678,-0.011044833772200571
pl,validation,15-20%,945,0.17243808921211826,0.1724867724867725,-4.868327465423761e-05
pl,validation,20-30%,700,0.23951537523945432,0.24,-0.00048462476054567105
pl,validation,30-40%,199,0.3406828485964083,0.3065326633165829,0.034150185279825385
pl,validation,40%+,44,0.46647232135659406,0.5909090909090909,-0.12443676955249688
