method,phase,gap_band,sample_size,top1_actual_win_rate,average_odds,win_roi
ranker,calibration,0-2%,125,0.232,7.4336,80.72
ranker,calibration,2-5%,119,0.226890756302521,5.197478,86.5546218487395
ranker,calibration,5-7.5%,80,0.175,4.7775,52.5
ranker,calibration,7.5-10%,51,0.29411764705882354,4.0196075,68.23529411764706
ranker,calibration,10%+,127,0.30708661417322836,2.6039371,63.30708661417322
bt,calibration,0-2%,123,0.21138211382113822,7.410569,79.26829268292683
bt,calibration,2-5%,117,0.23931623931623933,5.545299,73.4188034188034
bt,calibration,5-7.5%,67,0.31343283582089554,5.2835827,109.55223880597016
bt,calibration,7.5-10%,40,0.1,5.1724997,23.5
bt,calibration,10%+,155,0.2903225806451613,3.4709678,70.70967741935485
pl,calibration,0-2%,107,0.18691588785046728,7.8429894,76.72897196261682
pl,calibration,2-5%,116,0.1896551724137931,5.9732757,75.94827586206897
pl,calibration,5-7.5%,86,0.13953488372093023,5.2732563,38.72093023255814
pl,calibration,7.5-10%,45,0.28888888888888886,4.2422223,96.66666666666667
pl,calibration,10%+,148,0.32432432432432434,3.4060812,75.74324324324324
ranker,validation,0-2%,300,0.16,6.843667,57.06666666666666
ranker,validation,2-5%,338,0.21005917159763313,4.9213014,66.80473372781066
ranker,validation,5-7.5%,156,0.1858974358974359,4.26218,58.20512820512821
ranker,validation,7.5-10%,125,0.256,3.4119997,70.48
ranker,validation,10%+,314,0.37261146496815284,2.737261,74.93630573248407
bt,validation,0-2%,243,0.1934156378600823,6.9810696,77.73662551440329
bt,validation,2-5%,271,0.16605166051660517,5.5195575,68.70848708487085
bt,validation,5-7.5%,183,0.1912568306010929,4.825683,60.60109289617487
bt,validation,7.5-10%,126,0.21428571428571427,4.1547613,64.44444444444444
bt,validation,10%+,410,0.32682926829268294,3.665366,79.09756097560975
pl,validation,0-2%,276,0.16666666666666666,6.8384056,69.42028985507245
pl,validation,2-5%,288,0.2048611111111111,5.2083335,71.84027777777777
pl,validation,5-7.5%,179,0.18435754189944134,4.9927373,60.78212290502793
pl,validation,7.5-10%,124,0.25,4.1185484,80.40322580645162
pl,validation,10%+,366,0.32786885245901637,3.6724043,74.42622950819671
