method,phase,strategy,removed_largest_payouts,bets_remaining,win_roi,profit
ranker,calibration,max EV p>=10%,0,499,53.366733466933866,-23270.0
ranker,calibration,max EV p>=10%,1,498,48.574297188755025,-25610.0
ranker,calibration,max EV p>=10%,3,496,40.90725806451613,-29310.0
ranker,calibration,"max EV p>=10%, EV>1",0,428,50.373831775700936,-21240.0
ranker,calibration,"max EV p>=10%, EV>1",1,427,44.77751756440281,-23580.0
ranker,calibration,"max EV p>=10%, EV>1",3,425,35.811764705882354,-27280.0
bt,calibration,max EV p>=10%,0,502,51.91235059760956,-24140.0
bt,calibration,max EV p>=10%,1,501,48.46307385229541,-25820.0
bt,calibration,max EV p>=10%,3,499,42.66533066132265,-28610.0
bt,calibration,"max EV p>=10%, EV>1",0,421,49.572446555819475,-21230.0
bt,calibration,"max EV p>=10%, EV>1",1,420,45.45238095238095,-22910.0
bt,calibration,"max EV p>=10%, EV>1",3,418,38.516746411483254,-25700.0
pl,calibration,max EV p>=10%,0,502,57.66932270916335,-21250.0
pl,calibration,max EV p>=10%,1,501,53.093812375249506,-23500.0
pl,calibration,max EV p>=10%,3,499,45.87174348697395,-27010.0
pl,calibration,"max EV p>=10%, EV>1",0,413,51.69491525423729,-19950.0
pl,calibration,"max EV p>=10%, EV>1",1,412,46.116504854368934,-22200.0
pl,calibration,"max EV p>=10%, EV>1",3,410,37.292682926829265,-25710.0
ranker,validation,max EV p>=10%,0,1230,75.20325203252033,-30500.0
ranker,validation,max EV p>=10%,1,1229,70.74043938161107,-35960.0
ranker,validation,max EV p>=10%,3,1227,65.97392013039935,-41750.0
ranker,validation,"max EV p>=10%, EV>1",0,1004,77.68924302788844,-22400.0
ranker,validation,"max EV p>=10%, EV>1",1,1003,72.22333000997008,-27860.0
ranker,validation,"max EV p>=10%, EV>1",3,1001,66.38361638361638,-33650.0
bt,validation,max EV p>=10%,0,1233,78.25628548256286,-26810.0
bt,validation,max EV p>=10%,1,1232,71.37175324675324,-35270.0
bt,validation,max EV p>=10%,3,1230,67.45528455284553,-40030.0
bt,validation,"max EV p>=10%, EV>1",0,981,77.54332313965342,-22030.0
bt,validation,"max EV p>=10%, EV>1",1,980,68.88775510204081,-30490.0
bt,validation,"max EV p>=10%, EV>1",3,978,63.95705521472392,-35250.0
pl,validation,max EV p>=10%,0,1232,71.97240259740259,-34530.0
pl,validation,max EV p>=10%,1,1231,69.58570268074736,-37440.0
pl,validation,max EV p>=10%,3,1229,66.30593978844588,-41410.0
pl,validation,"max EV p>=10%, EV>1",0,963,68.84735202492212,-30000.0
pl,validation,"max EV p>=10%, EV>1",1,962,65.79002079002079,-32910.0
pl,validation,"max EV p>=10%, EV>1",3,960,61.583333333333336,-36880.0
