method,strategy,phase,total_races,bets,skip_count,wins,hit_rate,average_odds,win_roi,profit,maximum_drawdown,month
ranker,max EV p>=10%,calibration,108,107,1,5,0.04672897196261682,12.731775700934579,21.214953271028037,-8430.0,8430.0,2025-08
ranker,max EV p>=10%,calibration,80,80,0,4,0.05,14.05625,16.875,-6650.0,6650.0,2025-09
ranker,max EV p>=10%,calibration,92,92,0,11,0.11956521739130435,13.65108695652174,70.54347826086956,-2710.0,3380.0,2025-10
ranker,max EV p>=10%,calibration,123,122,1,10,0.08196721311475409,15.667213114754098,61.967213114754095,-4640.0,4820.0,2025-11
ranker,max EV p>=10%,calibration,99,98,1,10,0.10204081632653061,16.29795918367347,91.42857142857143,-840.0,4220.0,2025-12
bt,max EV p>=10%,calibration,108,108,0,6,0.05555555555555555,13.697222222222223,29.444444444444446,-7620.0,7620.0,2025-08
bt,max EV p>=10%,calibration,80,80,0,5,0.0625,14.3825,20.75,-6340.0,6340.0,2025-09
bt,max EV p>=10%,calibration,92,92,0,9,0.09782608695652174,11.83695652173913,70.76086956521739,-2690.0,4090.0,2025-10
bt,max EV p>=10%,calibration,123,123,0,16,0.13008130081300814,14.261788617886179,91.13821138211382,-1090.0,3040.0,2025-11
bt,max EV p>=10%,calibration,99,99,0,6,0.06060606060606061,19.687878787878788,35.35353535353536,-6400.0,6500.0,2025-12
pl,max EV p>=10%,calibration,108,108,0,6,0.05555555555555555,13.358333333333334,28.14814814814815,-7760.0,7760.0,2025-08
pl,max EV p>=10%,calibration,80,80,0,9,0.1125,14.01,69.0,-2480.0,3990.0,2025-09
pl,max EV p>=10%,calibration,92,92,0,11,0.11956521739130435,12.983695652173912,91.30434782608695,-800.0,2540.0,2025-10
pl,max EV p>=10%,calibration,123,123,0,13,0.10569105691056911,15.260975609756098,50.89430894308943,-6040.0,6220.0,2025-11
pl,max EV p>=10%,calibration,99,99,0,7,0.0707070707070707,19.363636363636363,57.878787878787875,-4170.0,4190.0,2025-12
ranker,max EV p>=10%,validation,160,159,1,21,0.1320754716981132,14.374842767295597,150.0,7950.0,2750.0,2026-01
ranker,max EV p>=10%,validation,171,171,0,9,0.05263157894736842,14.805847953216373,54.795321637426895,-7730.0,9100.0,2026-02
ranker,max EV p>=10%,validation,182,182,0,13,0.07142857142857142,13.678571428571429,70.0,-5460.0,8140.0,2026-03
ranker,max EV p>=10%,validation,160,159,1,14,0.0880503144654088,12.916981132075472,57.61006289308176,-6740.0,6740.0,2026-04
ranker,max EV p>=10%,validation,206,206,0,21,0.10194174757281553,12.674757281553399,83.54368932038835,-3390.0,7900.0,2026-05
ranker,max EV p>=10%,validation,135,135,0,13,0.0962962962962963,12.101481481481482,61.40740740740741,-5210.0,5930.0,2026-06
ranker,max EV p>=10%,validation,144,143,1,11,0.07692307692307693,11.404895104895106,52.58741258741259,-6780.0,6780.0,2026-07
ranker,max EV p>=10%,validation,75,75,0,6,0.08,11.373333333333333,58.13333333333334,-3140.0,4170.0,2026-08
bt,max EV p>=10%,validation,160,160,0,21,0.13125,13.54375,112.12500000000001,1940.0,2650.0,2026-01
bt,max EV p>=10%,validation,171,171,0,17,0.09941520467836257,12.31578947368421,56.08187134502924,-7510.0,8490.0,2026-02
bt,max EV p>=10%,validation,182,182,0,19,0.1043956043956044,12.982417582417582,75.21978021978022,-4510.0,10000.0,2026-03
bt,max EV p>=10%,validation,160,160,0,20,0.125,13.278125,76.5625,-3750.0,4010.0,2026-04
bt,max EV p>=10%,validation,206,206,0,31,0.15048543689320387,14.005339805825242,132.71844660194174,6740.0,4980.0,2026-05
bt,max EV p>=10%,validation,135,135,0,10,0.07407407407407407,15.24,46.88888888888889,-7170.0,7170.0,2026-06
bt,max EV p>=10%,validation,144,144,0,12,0.08333333333333333,12.275,43.05555555555556,-8200.0,8200.0,2026-07
bt,max EV p>=10%,validation,75,75,0,5,0.06666666666666667,13.02,42.0,-4350.0,4350.0,2026-08
pl,max EV p>=10%,validation,160,160,0,18,0.1125,16.2225,106.9375,1110.0,3400.0,2026-01
pl,max EV p>=10%,validation,171,171,0,15,0.08771929824561403,14.123391812865497,40.58479532163743,-10160.0,10420.0,2026-02
pl,max EV p>=10%,validation,182,182,0,20,0.10989010989010989,14.725824175824176,91.97802197802197,-1460.0,4510.0,2026-03
pl,max EV p>=10%,validation,160,160,0,18,0.1125,12.08625,72.625,-4380.0,6960.0,2026-04
pl,max EV p>=10%,validation,206,206,0,28,0.13592233009708737,14.782038834951456,78.7864077669903,-4370.0,6680.0,2026-05
pl,max EV p>=10%,validation,135,135,0,13,0.0962962962962963,12.164444444444445,56.2962962962963,-5900.0,5900.0,2026-06
pl,max EV p>=10%,validation,144,143,1,13,0.09090909090909091,12.49090909090909,61.95804195804195,-5440.0,5440.0,2026-07
pl,max EV p>=10%,validation,75,75,0,7,0.09333333333333334,13.390666666666666,47.599999999999994,-3930.0,3960.0,2026-08
