method,strategy,phase,total_races,bets,skip_count,wins,hit_rate,average_odds,win_roi,profit,maximum_drawdown
ranker,max EV p>=10%,calibration,502,499,3,40,0.08016032064128256,14.531663326653307,53.366733466933866,-23270.0,23270.0
ranker,"max EV p>=10%, EV>1",calibration,502,428,74,24,0.056074766355140186,16.171028037383177,50.373831775700936,-21240.0,21240.0
bt,max EV p>=10%,calibration,502,502,0,42,0.08366533864541832,14.785258964143427,51.91235059760956,-24140.0,24240.0
bt,"max EV p>=10%, EV>1",calibration,502,421,81,26,0.06175771971496437,16.769833729216153,49.572446555819475,-21230.0,21390.0
pl,max EV p>=10%,calibration,502,502,0,46,0.09163346613545817,15.04402390438247,57.66932270916335,-21250.0,21270.0
pl,"max EV p>=10%, EV>1",calibration,502,413,89,23,0.05569007263922518,17.34406779661017,51.69491525423729,-19950.0,20210.0
ranker,max EV p>=10%,validation,1233,1230,3,108,0.08780487804878048,13.080731707317073,75.20325203252033,-30500.0,41200.0
ranker,"max EV p>=10%, EV>1",validation,1233,1004,229,73,0.07270916334661355,14.875099601593625,77.68924302788844,-22400.0,32110.0
bt,max EV p>=10%,validation,1233,1233,0,135,0.10948905109489052,13.338929440389295,78.25628548256286,-26810.0,29830.0
bt,"max EV p>=10%, EV>1",validation,1233,981,252,76,0.07747196738022426,15.539245667686034,77.54332313965342,-22030.0,23850.0
pl,max EV p>=10%,validation,1233,1232,1,132,0.10714285714285714,13.881818181818181,71.97240259740259,-34530.0,36720.0
pl,"max EV p>=10%, EV>1",validation,1233,963,270,69,0.07165109034267912,16.426583592938734,68.84735202492212,-30000.0,31990.0
